               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,          
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  , Timestamp
 DSO 1       61,0.683     ,0.00      ,2.78      ,0.0655    ,          ,          ,          ,          ,  -7589690
 DSO 2       55,          ,          ,          ,          ,0.111     ,0.250     ,0.508     ,0.0183    ,  -7587072
 DSO 1       62,0.746     ,-0.20     ,2.98      ,0.1071    ,          ,          ,          ,          ,  -7579690
 DSO 2       56,          ,          ,          ,          ,0.250     ,0.290     ,0.310     ,0.0171    ,  -7577072
 DSO 1       63,0.921     ,-1.19     ,-0.40     ,0.1171    ,          ,          ,          ,          ,  -7569690
 DSO 2       57,          ,          ,          ,          ,0.746     ,0.607     ,0.746     ,0.0214    ,  -7567072
 DSO 1       64,0.889     ,0.60      ,3.57      ,0.0933    ,          ,          ,          ,          ,  -7559690
 DSO 2       58,          ,          ,          ,          ,0.587     ,0.329     ,0.607     ,0.0226    ,  -7557072
 DSO 1       65,0.556     ,1.79      ,0.79      ,0.0794    ,          ,          ,          ,          ,  -7549690
 DSO 2       59,          ,          ,          ,          ,0.667     ,0.627     ,0.825     ,0.0254    ,  -7547072
 DSO 1       66,0.762     ,1.59      ,1.59      ,0.0556    ,          ,          ,          ,          ,  -7539690
 DSO 2       60,          ,          ,          ,          ,0.448     ,0.746     ,0.825     ,0.0206    ,  -7537072
 DSO 1       67,0.778     ,-2.18     ,1.19      ,0.0853    ,          ,          ,          ,          ,  -7529690
 DSO 2       61,          ,          ,          ,          ,0.329     ,-0.087    ,0.429     ,0.0163    ,  -7527072
 DSO 1       68,0.556     ,-0.99     ,2.98      ,0.0238    ,          ,          ,          ,          ,  -7519690
 DSO 2       62,          ,          ,          ,          ,0.429     ,0.151     ,0.270     ,0.0167    ,  -7517072
 DSO 1       69,0.683     ,-1.19     ,-1.39     ,0.0635    ,          ,          ,          ,          ,  -7509690
 DSO 2       63,          ,          ,          ,          ,0.091     ,-0.087    ,0.329     ,0.0187    ,  -7507072
 DSO 1       70,0.587     ,-1.39     ,3.37      ,0.0853    ,          ,          ,          ,          ,  -7499690
 DSO 2       64,          ,          ,          ,          ,0.369     ,0.270     ,0.429     ,0.0183    ,  -7497072
