               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
 DSO 1      234,8.41E-01,5.95E-01,4.96,1.03E-01,          ,          ,          ,          ,2340000,
 DSO 2      229,          ,          ,          ,          ,9.13E-02,3.18E-02,5.68E-01,1.67E-02,2346742,
 DSO 1      235,5.56E-01,-3.175,2.381,6.31E-02,          ,          ,          ,          ,2350000,
 DSO 2      230,          ,          ,          ,          ,2.90E-01,1.31E-01,5.28E-01,1.19E-02,2356742,
 DSO 1      236,4.76E-01,-5.95E-01,4.96,3.14E-02,          ,          ,          ,          ,2360000,
 DSO 2      231,          ,          ,          ,          ,4.88E-01,1.11E-01,3.18E-02,1.59E-02,2366742,
 DSO 1      237,5.71E-01,1.587,2.778,6.71E-02,          ,          ,          ,          ,2370000,
 DSO 2      232,          ,          ,          ,          ,3.10E-01,4.68E-01,-1.07E-01,7.54E-03,2376742,
 DSO 1      238,7.62E-01,-3.97E-01,5.159,2.14E-02,          ,          ,          ,          ,2380000,
 DSO 2      233,          ,          ,          ,          ,-1.27E-01,3.10E-01,3.10E-01,1.35E-02,2386742,
 DSO 1      239,9.37E-01,-9.92E-01,2.778,5.52E-02,          ,          ,          ,          ,2390000,
 DSO 2      234,          ,          ,          ,          ,3.69E-01,3.10E-01,2.30E-01,9.13E-03,2396742,
 DSO 1      240,8.10E-01,-9.92E-01,3.97E-01,4.52E-02,          ,          ,          ,          ,2400000,
 DSO 2      235,          ,          ,          ,          ,4.88E-01,3.89E-01,2.90E-01,1.75E-02,2406742,
 DSO 1      241,6.19E-01,2.579,3.571,9.09E-02,          ,          ,          ,          ,2410000,
 DSO 2      236,          ,          ,          ,          ,3.10E-01,5.28E-01,3.89E-01,1.67E-02,2416742,
 DSO 1      242,8.73E-01,2.381,2.381,6.31E-02,          ,          ,          ,          ,2420000,
 DSO 2      237,          ,          ,          ,          ,3.29E-01,2.50E-01,4.29E-01,8.73E-03,2426742,
 DSO 1      243,7.94E-01,-1.984,3.77,5.12E-02,          ,          ,          ,          ,2430000,
 DSO 2      238,          ,          ,          ,          ,2.30E-01,5.16E-02,6.67E-01,2.02E-02,2436742,
 DSO 1      244,7.94E-01,-3.97E-01,3.373,4.72E-02,          ,          ,          ,          ,2440000,
 DSO 2      239,          ,          ,          ,          ,2.90E-01,7.14E-02,4.88E-01,1.91E-02,2446742,
 DSO 1      245,7.14E-01,1.98E-01,3.571,7.30E-02,          ,          ,          ,          ,2450000,
 DSO 2      240,          ,          ,          ,          ,1.19E-02,4.29E-01,1.11E-01,1.43E-02,2456742,
 DSO 1      246,6.19E-01,7.94E-01,2.579,5.71E-02,          ,          ,          ,          ,2460000,
 DSO 2      241,          ,          ,          ,          ,1.51E-01,1.51E-01,1.51E-01,1.47E-02,2466742,
 DSO 1      247,9.05E-01,-1.19,-5.95E-01,1.01E-01,          ,          ,          ,          ,2470000,
 DSO 2      242,          ,          ,          ,          ,1.71E-01,9.13E-02,2.50E-01,5.16E-03,2476742,
 DSO 1      248,7.62E-01,-3.175,1.587,4.52E-02,          ,          ,          ,          ,2480000,
 DSO 2      243,          ,          ,          ,          ,3.69E-01,1.71E-01,1.31E-01,1.51E-02,2486742,
 DSO 1      249,6.83E-01,3.968,1.786,1.11E-01,          ,          ,          ,          ,2490000,
 DSO 2      244,          ,          ,          ,          ,2.90E-01,3.10E-01,5.08E-01,7.14E-03,2496742,
 DSO 1      250,8.25E-01,5.95E-01,2.778,7.30E-02,          ,          ,          ,          ,2500000,
 DSO 2      245,          ,          ,          ,          ,5.87E-01,4.29E-01,2.90E-01,1.59E-02,2506742,
 DSO 1      251,7.78E-01,-2.579,1.587,3.33E-02,          ,          ,          ,          ,2510000,
 DSO 2      246,          ,          ,          ,          ,3.49E-01,1.19E-02,2.50E-01,1.79E-02,2516742,
 DSO 1      252,6.83E-01,-3.571,1.19,3.14E-02,          ,          ,          ,          ,2520000,
 DSO 2      247,          ,          ,          ,          ,4.48E-01,2.50E-01,2.30E-01,1.67E-02,2526742,
 DSO 1      253,6.19E-01,-7.94E-01,-9.92E-01,5.12E-02,          ,          ,          ,          ,2530000,
 DSO 2      248,          ,          ,          ,          ,2.70E-01,3.29E-01,6.67E-01,1.55E-02,2536742,
 DSO 1      254,8.41E-01,1.98E-01,4.96,4.33E-02,          ,          ,          ,          ,2540000,
 DSO 2      249,          ,          ,          ,          ,2.10E-01,1.31E-01,3.49E-01,9.13E-03,2546742,
 DSO 1      255,5.08E-01,0,1.389,8.49E-02,          ,          ,          ,          ,2550000,
 DSO 2      250,          ,          ,          ,          ,4.09E-01,2.30E-01,2.30E-01,1.35E-02,2556742,
 DSO 1      256,1,7.94E-01,-1.98E-01,3.73E-02,          ,          ,          ,          ,2560000,
 DSO 2      251,          ,          ,          ,          ,4.88E-01,3.69E-01,2.30E-01,1.59E-02,2566742,
 DSO 1      257,9.21E-01,1.19,4.365,6.11E-02,          ,          ,          ,          ,2570000,
 DSO 2      252,          ,          ,          ,          ,5.28E-01,4.48E-01,4.48E-01,1.31E-02,2576742,
 DSO 1      258,6.98E-01,3.97E-01,3.77,6.71E-02,          ,          ,          ,          ,2580000,
 DSO 2      253,          ,          ,          ,          ,5.08E-01,1.11E-01,4.88E-01,9.92E-03,2586742,
 DSO 1      259,8.10E-01,1.19,2.579,6.91E-02,          ,          ,          ,          ,2590000,
 DSO 2      254,          ,          ,          ,          ,6.67E-01,7.14E-02,2.50E-01,9.92E-03,2596742,
 DSO 1      260,7.78E-01,-2.381,4.365,1.94E-02,          ,          ,          ,          ,2600000,
 DSO 2      255,          ,          ,          ,          ,1.19E-02,2.10E-01,3.69E-01,2.30E-02,2606742,
 DSO 1      261,6.19E-01,-1.389,4.762,1.94E-02,          ,          ,          ,          ,2610000,
 DSO 2      256,          ,          ,          ,          ,2.30E-01,1.11E-01,3.69E-01,2.46E-02,2616742,
 DSO 1      262,8.10E-01,-5.95E-01,2.778,5.71E-02,          ,          ,          ,          ,2620000,
 DSO 2      257,          ,          ,          ,          ,5.28E-01,7.14E-02,3.29E-01,7.94E-03,2626742,
 DSO 1      263,7.78E-01,-5.95E-01,3.373,1.15E-02,          ,          ,          ,          ,2630000,
 DSO 2      258,          ,          ,          ,          ,5.08E-01,2.10E-01,4.68E-01,1.27E-02,2636742,
 DSO 1      264,8.41E-01,1.389,2.183,7.30E-02,          ,          ,          ,          ,2640000,
 DSO 2      259,          ,          ,          ,          ,1.91E-01,3.89E-01,1.19E-02,1.47E-02,2646742,
 DSO 1      265,6.51E-01,1.389,4.563,8.10E-02,          ,          ,          ,          ,2650000,
 DSO 2      260,          ,          ,          ,          ,9.13E-02,-2.78E-02,2.70E-01,1.59E-02,2656742,
 DSO 1      266,1.063,3.571,5.556,8.29E-02,          ,          ,          ,          ,2660000,
 DSO 2      261,          ,          ,          ,          ,2.10E-01,-1.07E-01,4.48E-01,1.47E-02,2666742,
 DSO 1      267,7.78E-01,2.183,2.976,5.91E-02,          ,          ,          ,          ,2670000,
 DSO 2      262,          ,          ,          ,          ,-1.27E-01,3.89E-01,3.10E-01,1.75E-02,2676742,
 DSO 1      268,8.10E-01,-2.976,2.778,3.33E-02,          ,          ,          ,          ,2680000,
 DSO 2      263,          ,          ,          ,          ,5.87E-01,3.89E-01,2.70E-01,2.26E-02,2686742,
 DSO 1      269,8.57E-01,1.98E-01,1.389,2.34E-02,          ,          ,          ,          ,2690000,
 DSO 2      264,          ,          ,          ,          ,1.51E-01,7.14E-02,4.88E-01,1.39E-02,2696742,
 DSO 1      270,6.83E-01,1.98E-01,2.579,4.33E-02,          ,          ,          ,          ,2700000,
 DSO 2      265,          ,          ,          ,          ,1.71E-01,4.48E-01,3.49E-01,1.27E-02,2706742,
 DSO 1      271,8.25E-01,1.389,1.587,4.92E-02,          ,          ,          ,          ,2710000,
 DSO 2      266,          ,          ,          ,          ,7.14E-02,-4.76E-02,3.18E-02,8.33E-03,2716742,
 DSO 1      272,6.51E-01,-9.92E-01,2.183,4.33E-02,          ,          ,          ,          ,2720000,
 DSO 2      267,          ,          ,          ,          ,4.68E-01,5.08E-01,3.89E-01,1.39E-02,2726742,
 DSO 1      273,1.048,-9.92E-01,4.563,8.49E-02,          ,          ,          ,          ,2730000,
 DSO 2      268,          ,          ,          ,          ,1.71E-01,7.14E-02,4.68E-01,1.35E-02,2736742,
 DSO 1      274,7.94E-01,7.94E-01,1.786,6.91E-02,          ,          ,          ,          ,2740000,
 DSO 2      269,          ,          ,          ,          ,3.49E-01,1.91E-01,7.66E-01,1.31E-02,2746742,
 DSO 1      275,7.78E-01,2.778,3.571,8.29E-02,          ,          ,          ,          ,2750000,
 DSO 2      270,          ,          ,          ,          ,-7.94E-03,5.16E-02,1.71E-01,1.71E-02,2756742,
 DSO 1      276,6.19E-01,7.94E-01,2.579,3.73E-02,          ,          ,          ,          ,2760000,
 DSO 2      271,          ,          ,          ,          ,4.68E-01,1.51E-01,7.66E-01,2.06E-02,2766742,
 DSO 1      277,6.03E-01,-7.94E-01,2.976,5.32E-02,          ,          ,          ,          ,2770000,
 DSO 2      272,          ,          ,          ,          ,6.47E-01,3.89E-01,2.70E-01,1.39E-02,2776742,
 DSO 1      278,5.56E-01,9.92E-01,4.167,5.52E-02,          ,          ,          ,          ,2780000,
 DSO 2      273,          ,          ,          ,          ,2.30E-01,7.14E-02,1.91E-01,9.13E-03,2786742,
 DSO 1      279,5.40E-01,-2.183,1.984,2.54E-02,          ,          ,          ,          ,2790000,
 DSO 2      274,          ,          ,          ,          ,1.11E-01,3.29E-01,-7.94E-03,3.97E-03,2796742,
 DSO 1      280,7.78E-01,-2.579,4.96,7.30E-02,          ,          ,          ,          ,2800000,
 DSO 2      275,          ,          ,          ,          ,2.90E-01,-8.73E-02,9.13E-02,7.94E-03,2806742,
 DSO 1      281,6.98E-01,4.167,1.786,8.29E-02,          ,          ,          ,          ,2810000,
 DSO 2      276,          ,          ,          ,          ,3.10E-01,1.31E-01,5.08E-01,1.31E-02,2816742,
 DSO 1      282,9.52E-01,1.98E-01,3.968,1.03E-01,          ,          ,          ,          ,2820000,
 DSO 2      277,          ,          ,          ,          ,4.09E-01,4.09E-01,4.68E-01,3.97E-03,2826742,
 DSO 1      283,8.10E-01,1.389,1.587,4.72E-02,          ,          ,          ,          ,2830000,
 DSO 2      278,          ,          ,          ,          ,2.90E-01,1.51E-01,3.89E-01,1.63E-02,2836742,
 DSO 1      284,8.10E-01,9.92E-01,1.984,6.11E-02,          ,          ,          ,          ,2840000,
 DSO 2      279,          ,          ,          ,          ,9.13E-02,2.30E-01,3.49E-01,2.22E-02,2846742,
 DSO 1      285,5.40E-01,7.94E-01,4.762,3.73E-02,          ,          ,          ,          ,2850000,
 DSO 2      280,          ,          ,          ,          ,2.10E-01,2.70E-01,4.48E-01,1.63E-02,2856742,
 DSO 1      286,6.67E-01,-5.95E-01,1.984,6.51E-02,          ,          ,          ,          ,2860000,
 DSO 2      281,          ,          ,          ,          ,1.91E-01,-1.27E-01,6.07E-01,1.79E-02,2866742,
 DSO 1      287,7.14E-01,0,0,5.91E-02,          ,          ,          ,          ,2870000,
 DSO 2      282,          ,          ,          ,          ,7.14E-02,3.69E-01,1.91E-01,1.03E-02,2876742,
 DSO 1      288,8.73E-01,2.778,9.92E-01,6.11E-02,          ,          ,          ,          ,2880000,
 DSO 2      283,          ,          ,          ,          ,2.10E-01,2.30E-01,2.90E-01,7.54E-03,2886742,
 DSO 1      289,9.52E-01,2.778,5.95E-01,5.52E-02,          ,          ,          ,          ,2890000,
 DSO 2      284,          ,          ,          ,          ,1.71E-01,3.10E-01,3.10E-01,1.19E-02,2896742,
 DSO 1      290,8.73E-01,4.167,3.97E-01,6.51E-02,          ,          ,          ,          ,2900000,
 DSO 2      285,          ,          ,          ,          ,6.07E-01,1.91E-01,4.68E-01,7.14E-03,2906742,
 DSO 1      291,7.62E-01,3.175,2.381,5.71E-02,          ,          ,          ,          ,2910000,
 DSO 2      286,          ,          ,          ,          ,3.29E-01,1.51E-01,3.29E-01,1.31E-02,2916742,
 DSO 1      292,9.52E-01,-1.587,-1.98E-01,4.52E-02,          ,          ,          ,          ,2920000,
 DSO 2      287,          ,          ,          ,          ,3.89E-01,2.30E-01,5.68E-01,7.54E-03,2926742,
 DSO 1      293,7.78E-01,-1.98E-01,3.968,5.71E-02,          ,          ,          ,          ,2930000,
 DSO 2      288,          ,          ,          ,          ,3.89E-01,2.10E-01,3.49E-01,1.27E-02,2936742,
 DSO 1      294,7.62E-01,-5.95E-01,2.381,6.11E-02,          ,          ,          ,          ,2940000,
 DSO 2      289,          ,          ,          ,          ,3.29E-01,3.69E-01,5.08E-01,1.35E-02,2946742,
 DSO 1      295,5.08E-01,1.389,2.579,4.33E-02,          ,          ,          ,          ,2950000,
 DSO 2      290,          ,          ,          ,          ,2.90E-01,1.71E-01,-2.06E-01,9.13E-03,2956742,
 DSO 1      296,7.14E-01,-1.587,3.571,3.33E-02,          ,          ,          ,          ,2960000,
 DSO 2      291,          ,          ,          ,          ,9.13E-02,4.29E-01,-1.67E-01,1.39E-02,2966742,
 DSO 1      297,7.14E-01,3.97E-01,3.968,5.12E-02,          ,          ,          ,          ,2970000,
 DSO 2      292,          ,          ,          ,          ,5.16E-02,3.49E-01,5.48E-01,1.15E-02,2976742,
 DSO 1      298,1,1.389,3.373,6.31E-02,          ,          ,          ,          ,2980000,
 DSO 2      293,          ,          ,          ,          ,4.68E-01,7.14E-02,3.69E-01,6.75E-03,2986742,
 DSO 1      299,8.25E-01,-7.94E-01,2.778,8.10E-02,          ,          ,          ,          ,2990000,
 DSO 2      294,          ,          ,          ,          ,1.11E-01,5.16E-02,3.29E-01,1.31E-02,2996742,
 DSO 1      300,5.56E-01,1.389,3.968,7.10E-02,          ,          ,          ,          ,3000000,
 DSO 2      295,          ,          ,          ,          ,3.69E-01,3.18E-02,4.29E-01,1.67E-02,3006742,
 DSO 1      301,5.08E-01,-2.579,5.754,5.91E-02,          ,          ,          ,          ,3010000,
 DSO 2      296,          ,          ,          ,          ,2.90E-01,4.09E-01,7.26E-01,1.31E-02,3016742,
 DSO 1      302,4.29E-01,-2.183,1.389,5.71E-02,          ,          ,          ,          ,3020000,
 DSO 2      297,          ,          ,          ,          ,2.30E-01,1.11E-01,6.47E-01,2.10E-02,3026742,
 DSO 1      303,7.30E-01,-1.587,-7.94E-01,6.51E-02,          ,          ,          ,          ,3030000,
 DSO 2      298,          ,          ,          ,          ,1.31E-01,2.50E-01,2.10E-01,1.19E-02,3036742,
 DSO 1      304,6.35E-01,0,4.167,4.92E-02,          ,          ,          ,          ,3040000,
 DSO 2      299,          ,          ,          ,          ,4.09E-01,1.91E-01,-7.94E-03,1.07E-02,3046742,
 DSO 1      305,8.73E-01,3.77,5.754,5.91E-02,          ,          ,          ,          ,3050000,
 DSO 2      300,          ,          ,          ,          ,1.11E-01,2.90E-01,3.89E-01,1.07E-02,3056742,
 DSO 1      306,8.10E-01,-3.97E-01,2.976,9.29E-02,          ,          ,          ,          ,3060000,
 DSO 2      301,          ,          ,          ,          ,2.10E-01,4.09E-01,2.90E-01,2.78E-03,3066742,
 DSO 1      307,9.05E-01,2.778,4.365,8.69E-02,          ,          ,          ,          ,3070000,
 DSO 2      302,          ,          ,          ,          ,3.49E-01,3.10E-01,4.48E-01,1.67E-02,3076742,
 DSO 1      308,7.78E-01,2.778,7.94E-01,6.91E-02,          ,          ,          ,          ,3080000,
 DSO 2      303,          ,          ,          ,          ,2.30E-01,2.30E-01,1.31E-01,1.75E-02,3086742,
 DSO 1      309,4.92E-01,3.97E-01,4.167,5.52E-02,          ,          ,          ,          ,3090000,
 DSO 2      304,          ,          ,          ,          ,4.09E-01,5.16E-02,4.29E-01,1.87E-02,3096742,
 DSO 1      310,7.94E-01,-1.98E-01,5.95E-01,5.71E-02,          ,          ,          ,          ,3100000,
 DSO 2      305,          ,          ,          ,          ,2.10E-01,2.90E-01,6.27E-01,1.83E-02,3106742,
 DSO 1      311,8.57E-01,1.19,2.579,5.32E-02,          ,          ,          ,          ,3110000,
 DSO 2      306,          ,          ,          ,          ,5.68E-01,2.30E-01,3.10E-01,1.19E-02,3116742,
 DSO 1      312,7.78E-01,1.984,1.98E-01,4.92E-02,          ,          ,          ,          ,3120000,
 DSO 2      307,          ,          ,          ,          ,3.29E-01,3.10E-01,1.71E-01,9.52E-03,3126742,
 DSO 1      313,9.05E-01,-7.94E-01,3.968,7.90E-02,          ,          ,          ,          ,3130000,
 DSO 2      308,          ,          ,          ,          ,7.14E-02,1.71E-01,3.29E-01,1.15E-02,3136742,
 DSO 1      314,9.21E-01,1.98E-01,1.984,7.50E-02,          ,          ,          ,          ,3140000,
 DSO 2      309,          ,          ,          ,          ,2.10E-01,2.10E-01,1.11E-01,6.75E-03,3146742,
 DSO 1      315,6.83E-01,5.95E-01,9.92E-01,9.09E-02,          ,          ,          ,          ,3150000,
 DSO 2      310,          ,          ,          ,          ,3.69E-01,2.10E-01,9.13E-02,9.52E-03,3156742,
 DSO 1      316,8.25E-01,7.94E-01,-3.97E-01,8.89E-02,          ,          ,          ,          ,3160000,
 DSO 2      311,          ,          ,          ,          ,3.49E-01,1.11E-01,5.08E-01,2.18E-02,3166742,
 DSO 1      317,4.44E-01,-2.381,1.19,5.91E-02,          ,          ,          ,          ,3170000,
 DSO 2      312,          ,          ,          ,          ,4.09E-01,3.49E-01,2.50E-01,1.67E-02,3176742,
 DSO 1      318,7.14E-01,-9.92E-01,3.175,6.11E-02,          ,          ,          ,          ,3180000,
 DSO 2      313,          ,          ,          ,          ,3.29E-01,2.90E-01,4.88E-01,2.14E-02,3186742,
 DSO 1      319,7.14E-01,1.19,1.786,6.31E-02,          ,          ,          ,          ,3190000,
 DSO 2      314,          ,          ,          ,          ,3.89E-01,2.50E-01,3.10E-01,1.63E-02,3196742,
 DSO 1      320,6.67E-01,3.97E-01,2.778,5.32E-02,          ,          ,          ,          ,3200000,
 DSO 2      315,          ,          ,          ,          ,4.48E-01,-2.78E-02,2.30E-01,1.07E-02,3206742,
 DSO 1      321,7.46E-01,1.98E-01,3.373,9.48E-02,          ,          ,          ,          ,3210000,
 DSO 2      316,          ,          ,          ,          ,2.90E-01,-2.78E-02,2.70E-01,8.73E-03,3216742,
 DSO 1      322,9.05E-01,-1.19,-1.98E-01,1.03E-01,          ,          ,          ,          ,3220000,
 DSO 2      317,          ,          ,          ,          ,2.30E-01,5.16E-02,3.69E-01,1.03E-02,3226742,
 DSO 1      323,8.73E-01,7.94E-01,3.77,8.29E-02,          ,          ,          ,          ,3230000,
 DSO 2      318,          ,          ,          ,          ,4.09E-01,9.13E-02,1.31E-01,1.15E-02,3236742,
 DSO 1      324,5.56E-01,1.984,9.92E-01,6.91E-02,          ,          ,          ,          ,3240000,
 DSO 2      319,          ,          ,          ,          ,3.49E-01,1.91E-01,3.29E-01,1.94E-02,3246742,
 DSO 1      325,7.30E-01,1.587,2.183,4.52E-02,          ,          ,          ,          ,3250000,
 DSO 2      320,          ,          ,          ,          ,2.50E-01,2.50E-01,7.66E-01,1.67E-02,3256742,
 DSO 1      326,7.78E-01,-2.183,1.389,7.30E-02,          ,          ,          ,          ,3260000,
 DSO 2      321,          ,          ,          ,          ,1.31E-01,3.10E-01,3.69E-01,2.14E-02,3266742,
 DSO 1      327,5.71E-01,-7.94E-01,3.175,1.15E-02,          ,          ,          ,          ,3270000,
 DSO 2      322,          ,          ,          ,          ,1.91E-01,2.90E-01,2.30E-01,2.22E-02,3276742,
 DSO 1      328,6.67E-01,-7.94E-01,-1.19,5.32E-02,          ,          ,          ,          ,3280000,
 DSO 2      323,          ,          ,          ,          ,5.28E-01,4.68E-01,9.13E-02,9.92E-03,3286742,
 DSO 1      329,5.87E-01,-1.389,3.373,7.70E-02,          ,          ,          ,          ,3290000,
 DSO 2      324,          ,          ,          ,          ,2.50E-01,1.31E-01,3.69E-01,8.33E-03,3296742,
 DSO 1      330,8.25E-01,-1.587,1.389,7.90E-02,          ,          ,          ,          ,3300000,
 DSO 2      325,          ,          ,          ,          ,3.89E-01,1.11E-01,5.48E-01,9.92E-03,3306742,
 DSO 1      331,6.98E-01,-1.587,2.579,5.91E-02,          ,          ,          ,          ,3310000,
 DSO 2      326,          ,          ,          ,          ,4.29E-01,4.29E-01,1.31E-01,2.26E-02,3316742,
 DSO 1      332,8.25E-01,5.357,4.167,9.09E-02,          ,          ,          ,          ,3320000,
 DSO 2      327,          ,          ,          ,          ,5.48E-01,-4.76E-02,3.10E-01,1.63E-02,3326742,
 DSO 1      333,8.73E-01,7.94E-01,4.96,1.05E-01,          ,          ,          ,          ,3330000,
 DSO 2      328,          ,          ,          ,          ,7.14E-02,5.16E-02,5.68E-01,1.75E-02,3336742,
 DSO 1      334,5.71E-01,-2.976,2.579,6.71E-02,          ,          ,          ,          ,3340000,
 DSO 2      329,          ,          ,          ,          ,3.29E-01,1.31E-01,5.08E-01,1.27E-02,3346742,
 DSO 1      335,4.92E-01,-3.97E-01,4.563,3.14E-02,          ,          ,          ,          ,3350000,
 DSO 2      330,          ,          ,          ,          ,4.88E-01,1.31E-01,1.19E-02,1.59E-02,3356742,
 DSO 1      336,5.71E-01,1.389,2.778,6.91E-02,          ,          ,          ,          ,3360000,
 DSO 2      331,          ,          ,          ,          ,2.70E-01,4.88E-01,-8.73E-02,8.33E-03,3366742,
 DSO 1      337,7.78E-01,-3.97E-01,4.762,2.54E-02,          ,          ,          ,          ,3370000,
 DSO 2      332,          ,          ,          ,          ,-8.73E-02,3.49E-01,3.29E-01,1.43E-02,3376742,
 DSO 1      338,9.37E-01,-5.95E-01,2.976,5.91E-02,          ,          ,          ,          ,3380000,
 DSO 2      333,          ,          ,          ,          ,3.29E-01,3.49E-01,2.50E-01,1.07E-02,3386742,
 DSO 1      339,8.25E-01,-5.95E-01,1.98E-01,4.92E-02,          ,          ,          ,          ,3390000,
 DSO 2      334,          ,          ,          ,          ,5.08E-01,3.89E-01,2.90E-01,1.87E-02,3396742,
 DSO 1      340,6.35E-01,2.778,3.571,9.29E-02,          ,          ,          ,          ,3400000,
 DSO 2      335,          ,          ,          ,          ,2.90E-01,5.48E-01,4.09E-01,1.63E-02,3406742,
 DSO 1      341,8.89E-01,2.183,2.381,6.31E-02,          ,          ,          ,          ,3410000,
 DSO 2      336,          ,          ,          ,          ,3.69E-01,2.70E-01,4.29E-01,9.52E-03,3416742,
 DSO 1      342,7.94E-01,-1.587,3.77,5.32E-02,          ,          ,          ,          ,3420000,
 DSO 2      337,          ,          ,          ,          ,2.50E-01,9.13E-02,6.67E-01,2.02E-02,3426742,
 DSO 1      343,8.10E-01,-5.95E-01,3.175,4.92E-02,          ,          ,          ,          ,3430000,
 DSO 2      338,          ,          ,          ,          ,2.90E-01,1.11E-01,4.88E-01,1.98E-02,3436742,
 DSO 1      344,7.46E-01,5.95E-01,3.373,7.70E-02,          ,          ,          ,          ,3440000,
 DSO 2      339,          ,          ,          ,          ,5.16E-02,4.48E-01,1.31E-01,1.43E-02,3446742,
 DSO 1      345,6.35E-01,1.19,2.579,5.71E-02,          ,          ,          ,          ,3450000,
 DSO 2      340,          ,          ,          ,          ,1.31E-01,1.11E-01,1.51E-01,1.19E-02,3456742,
 DSO 1      346,9.37E-01,-1.19,-5.95E-01,1.05E-01,          ,          ,          ,          ,3460000,
 DSO 2      341,          ,          ,          ,          ,2.10E-01,3.18E-02,2.50E-01,5.16E-03,3466742,
 DSO 1      347,7.78E-01,-2.976,1.587,4.92E-02,          ,          ,          ,          ,3470000,
 DSO 2      342,          ,          ,          ,          ,3.89E-01,1.11E-01,1.11E-01,1.43E-02,3476742,
 DSO 1      348,6.98E-01,4.167,1.984,1.13E-01,          ,          ,          ,          ,3480000,
 DSO 2      343,          ,          ,          ,          ,2.30E-01,2.30E-01,5.08E-01,6.75E-03,3486742,
 DSO 1      349,8.57E-01,5.95E-01,2.976,7.30E-02,          ,          ,          ,          ,3490000,
 DSO 2      344,          ,          ,          ,          ,5.68E-01,3.89E-01,3.10E-01,1.47E-02,3496742,
 DSO 1      350,7.94E-01,-2.183,1.587,3.53E-02,          ,          ,          ,          ,3500000,
 DSO 2      345,          ,          ,          ,          ,3.29E-01,-2.78E-02,2.30E-01,1.63E-02,3506742,
 DSO 1      351,6.98E-01,-3.571,9.92E-01,3.14E-02,          ,          ,          ,          ,3510000,
 DSO 2      346,          ,          ,          ,          ,4.48E-01,1.91E-01,2.30E-01,1.55E-02,3516742,
 DSO 1      352,6.67E-01,-5.95E-01,-7.94E-01,5.32E-02,          ,          ,          ,          ,3520000,
 DSO 2      347,          ,          ,          ,          ,2.90E-01,2.90E-01,6.67E-01,1.43E-02,3526742,
 DSO 1      353,8.41E-01,1.98E-01,4.96,4.92E-02,          ,          ,          ,          ,3530000,
 DSO 2      348,          ,          ,          ,          ,1.91E-01,7.14E-02,3.29E-01,7.94E-03,3536742,
 DSO 1      354,5.56E-01,1.98E-01,1.786,8.89E-02,          ,          ,          ,          ,3540000,
 DSO 2      349,          ,          ,          ,          ,3.89E-01,1.71E-01,2.50E-01,1.23E-02,3546742,
 DSO 1      355,1,9.92E-01,0,3.93E-02,          ,          ,          ,          ,3550000,
 DSO 2      350,          ,          ,          ,          ,4.88E-01,3.49E-01,2.30E-01,1.43E-02,3556742,
 DSO 1      356,9.37E-01,1.587,4.563,6.11E-02,          ,          ,          ,          ,3560000,
 DSO 2      351,          ,          ,          ,          ,5.08E-01,4.29E-01,4.29E-01,1.15E-02,3566742,
 DSO 1      357,6.98E-01,7.94E-01,3.968,6.91E-02,          ,          ,          ,          ,3570000,
 DSO 2      352,          ,          ,          ,          ,5.28E-01,9.13E-02,5.08E-01,8.33E-03,3576742,
 DSO 1      358,8.41E-01,9.92E-01,2.579,7.30E-02,          ,          ,          ,          ,3580000,
 DSO 2      353,          ,          ,          ,          ,6.47E-01,3.18E-02,2.70E-01,9.92E-03,3586742,
 DSO 1      359,7.78E-01,-2.579,4.762,1.35E-02,          ,          ,          ,          ,3590000,
 DSO 2      354,          ,          ,          ,          ,3.18E-02,1.71E-01,3.69E-01,2.22E-02,3596742,
 DSO 1      360,6.19E-01,-1.587,4.96,1.35E-02,          ,          ,          ,          ,3600000,
 DSO 2      355,          ,          ,          ,          ,2.70E-01,7.14E-02,3.29E-01,2.22E-02,3606742,
 DSO 1      361,7.78E-01,-7.94E-01,2.579,5.32E-02,          ,          ,          ,          ,3610000,
 DSO 2      356,          ,          ,          ,          ,4.68E-01,3.18E-02,3.29E-01,6.75E-03,3616742,
 DSO 1      362,7.62E-01,-5.95E-01,3.373,7.54E-03,          ,          ,          ,          ,3620000,
 DSO 2      357,          ,          ,          ,          ,4.68E-01,1.31E-01,4.29E-01,1.15E-02,3626742,
 DSO 1      363,8.25E-01,9.92E-01,1.984,6.91E-02,          ,          ,          ,          ,3630000,
 DSO 2      358,          ,          ,          ,          ,2.10E-01,3.10E-01,-2.78E-02,1.47E-02,3636742,
 DSO 1      364,6.35E-01,1.389,4.167,7.50E-02,          ,          ,          ,          ,3640000,
 DSO 2      359,          ,          ,          ,          ,7.14E-02,-8.73E-02,2.90E-01,1.43E-02,3646742,
 DSO 1      365,1.032,3.175,5.556,8.10E-02,          ,          ,          ,          ,3650000,
 DSO 2      360,          ,          ,          ,          ,2.30E-01,-1.47E-01,4.48E-01,1.27E-02,3656742,
 DSO 1      366,7.62E-01,1.984,2.976,5.91E-02,          ,          ,          ,          ,3660000,
 DSO 2      361,          ,          ,          ,          ,-1.47E-01,3.10E-01,3.29E-01,1.63E-02,3666742,
 DSO 1      367,7.94E-01,-3.373,2.579,3.33E-02,          ,          ,          ,          ,3670000,
