               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 1     1653,2.079,-4.96,1.389,3.93E-02,          ,          ,          ,          ,16530000,
 DSO 2     1648,          ,          ,          ,          ,2.10E-01,1.71E-01,1.11E-01,4.76E-03,16538088,
 DSO 1     1654,2.063,1.98E-01,-7.94E-01,2.14E-02,          ,          ,          ,          ,16540000,
 DSO 2     1649,          ,          ,          ,          ,3.89E-01,1.51E-01,7.14E-02,8.73E-03,16548088,
 DSO 1     1655,2.032,-1.786,0,2.98E-02,          ,          ,          ,          ,16550000,
 DSO 2     1650,          ,          ,          ,          ,3.89E-01,3.18E-02,4.68E-01,2.14E-02,16558088,
 DSO 1     1656,2.159,-3.373,-2.778,3.69E-02,          ,          ,          ,          ,16560000,
 DSO 2     1651,          ,          ,          ,          ,4.29E-01,3.69E-01,2.10E-01,1.59E-02,16568088,
 DSO 1     1657,2.159,-7.94E-01,-3.373,4.17E-02,          ,          ,          ,          ,16570000,
 DSO 2     1652,          ,          ,          ,          ,3.49E-01,2.50E-01,5.08E-01,2.06E-02,16578088,
 DSO 1     1658,2.095,-1.587,1.19,3.10E-02,          ,          ,          ,          ,16580000,
 DSO 2     1653,          ,          ,          ,          ,4.09E-01,2.10E-01,3.10E-01,1.67E-02,16588088,
 DSO 1     1659,2.254,-1.98E-01,-1.984,3.69E-02,          ,          ,          ,          ,16590000,
 DSO 2     1654,          ,          ,          ,          ,4.48E-01,-4.76E-02,2.50E-01,1.07E-02,16598088,
 DSO 1     1660,2.127,-1.587,-1.98E-01,3.69E-02,          ,          ,          ,          ,16600000,
 DSO 2     1655,          ,          ,          ,          ,3.10E-01,-4.76E-02,2.70E-01,7.94E-03,16608088,
 DSO 1     1661,2.159,-2.976,1.98E-01,4.05E-02,          ,          ,          ,          ,16610000,
 DSO 2     1656,          ,          ,          ,          ,2.50E-01,1.19E-02,3.89E-01,7.54E-03,16618088,
 DSO 1     1662,2.063,-4.365,3.77,2.50E-02,          ,          ,          ,          ,16620000,
 DSO 2     1657,          ,          ,          ,          ,3.89E-01,5.16E-02,1.11E-01,9.13E-03,16628088,
 DSO 1     1663,2.063,0,1.984,2.74E-02,          ,          ,          ,          ,16630000,
 DSO 2     1658,          ,          ,          ,          ,3.69E-01,1.51E-01,3.49E-01,1.91E-02,16638088,
 DSO 1     1664,1.984,7.94E-01,3.571,3.45E-02,          ,          ,          ,          ,16640000,
 DSO 2     1659,          ,          ,          ,          ,2.90E-01,2.50E-01,8.06E-01,1.55E-02,16648088,
 DSO 1     1665,2.238,-3.175,-3.968,4.52E-02,          ,          ,          ,          ,16650000,
 DSO 2     1660,          ,          ,          ,          ,1.31E-01,2.50E-01,3.69E-01,1.87E-02,16658088,
 DSO 1     1666,2.127,-2.778,-1.19,4.05E-02,          ,          ,          ,          ,16660000,
 DSO 2     1661,          ,          ,          ,          ,1.71E-01,2.50E-01,2.30E-01,2.18E-02,16668088,
 DSO 1     1667,2,2.381,-1.984,3.57E-02,          ,          ,          ,          ,16670000,
 DSO 2     1662,          ,          ,          ,          ,5.08E-01,4.09E-01,9.13E-02,1.07E-02,16678088,
 DSO 1     1668,2.222,-5.95E-01,-2.579,3.45E-02,          ,          ,          ,          ,16680000,
 DSO 2     1663,          ,          ,          ,          ,2.30E-01,9.13E-02,4.09E-01,7.54E-03,16688088,
 DSO 1     1669,2.063,3.97E-01,-1.98E-01,5.60E-02,          ,          ,          ,          ,16690000,
 DSO 2     1664,          ,          ,          ,          ,3.69E-01,9.13E-02,5.48E-01,8.33E-03,16698088,
 DSO 1     1670,1.968,-4.762,9.92E-01,2.38E-02,          ,          ,          ,          ,16700000,
 DSO 2     1665,          ,          ,          ,          ,4.29E-01,3.69E-01,1.31E-01,2.30E-02,16708088,
 DSO 1     1671,2.254,-3.97E-01,7.94E-01,3.93E-02,          ,          ,          ,          ,16710000,
 DSO 2     1666,          ,          ,          ,          ,5.68E-01,-1.07E-01,3.10E-01,1.63E-02,16718088,
 DSO 1     1672,2.365,-2.778,3.97E-01,2.74E-02,          ,          ,          ,          ,16720000,
 DSO 2     1667,          ,          ,          ,          ,1.11E-01,1.19E-02,5.87E-01,1.67E-02,16728088,
 DSO 1     1673,2.032,-1.786,3.97E-01,3.10E-02,          ,          ,          ,          ,16730000,
 DSO 2     1668,          ,          ,          ,          ,3.49E-01,1.11E-01,5.28E-01,1.19E-02,16738088,
 DSO 1     1674,2.079,-3.571,0,2.62E-02,          ,          ,          ,          ,16740000,
 DSO 2     1669,          ,          ,          ,          ,5.28E-01,7.14E-02,5.16E-02,1.47E-02,16748088,
 DSO 1     1675,2.19,9.92E-01,-3.175,5.36E-02,          ,          ,          ,          ,16750000,
 DSO 2     1670,          ,          ,          ,          ,3.10E-01,4.48E-01,-4.76E-02,7.94E-03,16758088,
 DSO 1     1676,1.984,-1.587,-1.98E-01,3.45E-02,          ,          ,          ,          ,16760000,
 DSO 2     1671,          ,          ,          ,          ,-1.47E-01,3.10E-01,3.29E-01,1.35E-02,16768088,
 DSO 1     1677,2.079,-4.563,1.587,4.52E-02,          ,          ,          ,          ,16770000,
 DSO 2     1672,          ,          ,          ,          ,3.89E-01,2.90E-01,2.70E-01,1.03E-02,16778088,
 DSO 1     1678,1.921,-1.984,1.786,2.02E-02,          ,          ,          ,          ,16780000,
 DSO 2     1673,          ,          ,          ,          ,4.88E-01,3.49E-01,3.10E-01,1.79E-02,16788088,
 DSO 1     1679,1.905,-2.381,3.373,3.57E-02,          ,          ,          ,          ,16790000,
 DSO 2     1674,          ,          ,          ,          ,3.29E-01,5.08E-01,4.09E-01,1.63E-02,16798088,
 DSO 1     1680,2.032,-1.984,3.373,1.91E-02,          ,          ,          ,          ,16800000,
 DSO 2     1675,          ,          ,          ,          ,3.29E-01,2.10E-01,4.48E-01,8.33E-03,16808088,
 DSO 1     1681,1.952,0,1.786,3.57E-02,          ,          ,          ,          ,16810000,
 DSO 2     1676,          ,          ,          ,          ,2.70E-01,3.18E-02,6.67E-01,1.98E-02,16818088,
 DSO 1     1682,2.032,-1.19,-3.97E-01,3.21E-02,          ,          ,          ,          ,16820000,
 DSO 2     1677,          ,          ,          ,          ,3.10E-01,7.14E-02,4.88E-01,1.98E-02,16828088,
 DSO 1     1683,2.19,-3.373,-1.19,4.05E-02,          ,          ,          ,          ,16830000,
 DSO 2     1678,          ,          ,          ,          ,3.18E-02,4.09E-01,1.31E-01,1.35E-02,16838088,
 DSO 1     1684,2.079,3.968,-9.92E-01,3.33E-02,          ,          ,          ,          ,16840000,
 DSO 2     1679,          ,          ,          ,          ,1.31E-01,1.31E-01,1.71E-01,1.31E-02,16848088,
 DSO 1     1685,2.111,-3.77,1.98E-01,5.60E-02,          ,          ,          ,          ,16850000,
 DSO 2     1680,          ,          ,          ,          ,1.71E-01,9.13E-02,2.70E-01,5.16E-03,16858088,
 DSO 1     1686,1.794,-3.571,3.571,3.57E-02,          ,          ,          ,          ,16860000,
 DSO 2     1681,          ,          ,          ,          ,3.89E-01,1.71E-01,1.51E-01,1.47E-02,16868088,
 DSO 1     1687,1.905,4.167,2.183,5.00E-02,          ,          ,          ,          ,16870000,
 DSO 2     1682,          ,          ,          ,          ,3.10E-01,2.90E-01,5.08E-01,8.73E-03,16878088,
 DSO 1     1688,1.889,-1.587,3.968,5.36E-02,          ,          ,          ,          ,16880000,
 DSO 2     1683,          ,          ,          ,          ,5.68E-01,3.89E-01,3.29E-01,1.51E-02,16888088,
 DSO 1     1689,1.857,-2.778,9.92E-01,4.41E-02,          ,          ,          ,          ,16890000,
 DSO 2     1684,          ,          ,          ,          ,3.29E-01,1.19E-02,2.70E-01,1.71E-02,16898088,
 DSO 1     1690,2.032,-2.778,-2.579,3.10E-02,          ,          ,          ,          ,16900000,
 DSO 2     1685,          ,          ,          ,          ,4.88E-01,2.30E-01,2.30E-01,1.87E-02,16908088,
 DSO 1     1691,1.889,0,-5.95E-01,4.05E-02,          ,          ,          ,          ,16910000,
 DSO 2     1686,          ,          ,          ,          ,2.70E-01,3.10E-01,6.87E-01,1.63E-02,16918088,
 DSO 1     1692,2.063,9.92E-01,1.587,2.26E-02,          ,          ,          ,          ,16920000,
 DSO 2     1687,          ,          ,          ,          ,2.50E-01,1.31E-01,3.10E-01,8.73E-03,16928088,
 DSO 1     1693,1.937,1.984,-2.976,3.45E-02,          ,          ,          ,          ,16930000,
 DSO 2     1688,          ,          ,          ,          ,4.29E-01,2.10E-01,2.90E-01,1.39E-02,16938088,
 DSO 1     1694,1.937,-3.77,4.762,2.98E-02,          ,          ,          ,          ,16940000,
 DSO 2     1689,          ,          ,          ,          ,5.08E-01,3.49E-01,2.50E-01,1.63E-02,16948088,
 DSO 1     1695,1.841,-1.587,-5.95E-01,2.38E-02,          ,          ,          ,          ,16950000,
 DSO 2     1690,          ,          ,          ,          ,5.08E-01,4.48E-01,4.68E-01,1.31E-02,16958088,
 DSO 1     1696,1.921,-3.175,3.175,1.79E-02,          ,          ,          ,          ,16960000,
 DSO 2     1691,          ,          ,          ,          ,5.08E-01,1.11E-01,4.88E-01,8.73E-03,16968088,
 DSO 1     1697,2,-2.381,7.94E-01,1.43E-02,          ,          ,          ,          ,16970000,
 DSO 2     1692,          ,          ,          ,          ,6.67E-01,3.18E-02,2.70E-01,1.03E-02,16978088,
 DSO 1     1698,1.968,-7.94E-01,1.98E-01,3.69E-02,          ,          ,          ,          ,16980000,
 DSO 2     1693,          ,          ,          ,          ,7.14E-02,2.30E-01,4.09E-01,2.30E-02,16988088,
 DSO 1     1699,2.048,-2.976,9.92E-01,2.26E-02,          ,          ,          ,          ,16990000,
 DSO 2     1694,          ,          ,          ,          ,2.70E-01,1.11E-01,3.69E-01,2.30E-02,16998088,
 DSO 1     1700,2.095,-1.19,9.92E-01,3.69E-02,          ,          ,          ,          ,17000000,
 DSO 2     1695,          ,          ,          ,          ,5.08E-01,5.16E-02,3.89E-01,7.94E-03,17008088,
 DSO 1     1701,2.365,1.98E-01,-1.786,3.69E-02,          ,          ,          ,          ,17010000,
 DSO 2     1696,          ,          ,          ,          ,4.88E-01,2.30E-01,4.88E-01,1.19E-02,17018088,
 DSO 1     1702,1.651,-4.96,3.77,3.45E-02,          ,          ,          ,          ,17020000,
 DSO 2     1697,          ,          ,          ,          ,2.30E-01,3.49E-01,-2.78E-02,1.63E-02,17028088,
 DSO 1     1703,1.73,5.95E-01,1.19,3.10E-02,          ,          ,          ,          ,17030000,
 DSO 2     1698,          ,          ,          ,          ,1.31E-01,-8.73E-02,2.70E-01,1.51E-02,17038088,
 DSO 1     1704,1.746,1.984,4.762,3.21E-02,          ,          ,          ,          ,17040000,
 DSO 2     1699,          ,          ,          ,          ,2.10E-01,-1.07E-01,4.48E-01,1.59E-02,17048088,
 DSO 1     1705,1.984,-4.563,3.175,1.91E-02,          ,          ,          ,          ,17050000,
 DSO 2     1700,          ,          ,          ,          ,-1.27E-01,3.49E-01,3.49E-01,1.71E-02,17058088,
 DSO 1     1706,1.794,-2.381,-5.95E-01,3.57E-02,          ,          ,          ,          ,17060000,
 DSO 2     1701,          ,          ,          ,          ,5.87E-01,3.89E-01,2.70E-01,2.22E-02,17068088,
 DSO 1     1707,1.968,2.976,-2.778,4.41E-02,          ,          ,          ,          ,17070000,
 DSO 2     1702,          ,          ,          ,          ,1.91E-01,3.18E-02,5.08E-01,1.55E-02,17078088,
 DSO 1     1708,1.968,-1.587,-7.94E-01,5.48E-02,          ,          ,          ,          ,17080000,
 DSO 2     1703,          ,          ,          ,          ,1.91E-01,4.09E-01,3.49E-01,7.54E-03,17088088,
 DSO 1     1709,1.921,-3.97E-01,7.94E-01,4.05E-02,          ,          ,          ,          ,17090000,
 DSO 2     1704,          ,          ,          ,          ,1.11E-01,-8.73E-02,5.16E-02,1.47E-02,17098088,
 DSO 1     1710,1.794,-3.175,1.786,3.21E-02,          ,          ,          ,          ,17100000,
 DSO 2     1705,          ,          ,          ,          ,4.48E-01,4.68E-01,4.09E-01,2.10E-02,17108088,
 DSO 1     1711,1.921,-3.77,1.587,2.26E-02,          ,          ,          ,          ,17110000,
 DSO 2     1706,          ,          ,          ,          ,1.91E-01,3.18E-02,4.88E-01,7.54E-03,17118088,
 DSO 1     1712,1.698,-2.976,3.373,3.57E-02,          ,          ,          ,          ,17120000,
 DSO 2     1707,          ,          ,          ,          ,3.89E-01,2.30E-01,8.25E-01,1.31E-02,17128088,
 DSO 1     1713,1.841,-3.97E-01,1.786,3.45E-02,          ,          ,          ,          ,17130000,
 DSO 2     1708,          ,          ,          ,          ,-2.78E-02,3.18E-02,2.10E-01,1.94E-02,17138088,
 DSO 1     1714,2.079,3.97E-01,-1.587,2.02E-02,          ,          ,          ,          ,17140000,
 DSO 2     1709,          ,          ,          ,          ,4.68E-01,1.31E-01,7.66E-01,1.94E-02,17148088,
 DSO 1     1715,2,-5.95E-01,1.98E-01,3.81E-02,          ,          ,          ,          ,17150000,
 DSO 2     1710,          ,          ,          ,          ,6.87E-01,3.89E-01,3.10E-01,1.51E-02,17158088,
 DSO 1     1716,1.905,7.94E-01,1.98E-01,3.21E-02,          ,          ,          ,          ,17160000,
 DSO 2     1711,          ,          ,          ,          ,2.90E-01,1.11E-01,2.30E-01,7.54E-03,17168088,
 DSO 1     1717,1.698,-1.98E-01,-2.381,3.45E-02,          ,          ,          ,          ,17170000,
 DSO 2     1712,          ,          ,          ,          ,1.11E-01,3.10E-01,1.19E-02,5.16E-03,17178088,
 DSO 1     1718,1.73,-3.373,1.984,2.02E-02,          ,          ,          ,          ,17180000,
 DSO 2     1713,          ,          ,          ,          ,3.10E-01,-1.27E-01,9.13E-02,7.14E-03,17188088,
 DSO 1     1719,1.603,-2.778,1.98E-01,3.69E-02,          ,          ,          ,          ,17190000,
 DSO 2     1714,          ,          ,          ,          ,3.29E-01,7.14E-02,5.28E-01,1.39E-02,17198088,
 DSO 1     1720,2.079,-3.373,2.381,4.41E-02,          ,          ,          ,          ,17200000,
 DSO 2     1715,          ,          ,          ,          ,4.09E-01,4.29E-01,5.28E-01,4.37E-03,17208088,
 DSO 1     1721,1.952,-1.98E-01,3.77,3.10E-02,          ,          ,          ,          ,17210000,
 DSO 2     1716,          ,          ,          ,          ,2.70E-01,1.31E-01,4.29E-01,1.59E-02,17218088,
 DSO 1     1722,2.016,7.94E-01,-1.587,3.93E-02,          ,          ,          ,          ,17220000,
 DSO 2     1717,          ,          ,          ,          ,7.14E-02,2.30E-01,3.89E-01,2.18E-02,17228088,
 DSO 1     1723,1.746,-1.984,1.786,2.50E-02,          ,          ,          ,          ,17230000,
 DSO 2     1718,          ,          ,          ,          ,2.90E-01,2.50E-01,4.88E-01,1.63E-02,17238088,
 DSO 1     1724,1.714,-1.98E-01,-7.94E-01,4.76E-02,          ,          ,          ,          ,17240000,
 DSO 2     1719,          ,          ,          ,          ,2.10E-01,-1.27E-01,6.27E-01,1.79E-02,17248088,
 DSO 1     1725,2.032,2.183,-1.98E-01,4.52E-02,          ,          ,          ,          ,17250000,
 DSO 2     1720,          ,          ,          ,          ,7.14E-02,3.89E-01,2.30E-01,1.11E-02,17258088,
 DSO 1     1726,1.365,-1.984,-3.373,4.05E-02,          ,          ,          ,          ,17260000,
 DSO 2     1721,          ,          ,          ,          ,2.30E-01,1.91E-01,2.50E-01,8.33E-03,17268088,
 DSO 1     1727,1.698,-1.389,1.587,3.69E-02,          ,          ,          ,          ,17270000,
 DSO 2     1722,          ,          ,          ,          ,1.71E-01,3.10E-01,3.10E-01,1.19E-02,17278088,
 DSO 1     1728,1.73,-5.357,1.389,3.33E-02,          ,          ,          ,          ,17280000,
 DSO 2     1723,          ,          ,          ,          ,6.47E-01,1.91E-01,4.68E-01,7.14E-03,17288088,
 DSO 1     1729,1.841,1.786,1.587,3.45E-02,          ,          ,          ,          ,17290000,
 DSO 2     1724,          ,          ,          ,          ,3.49E-01,1.31E-01,3.29E-01,1.19E-02,17298088,
 DSO 1     1730,1.635,5.95E-01,-7.94E-01,4.76E-02,          ,          ,          ,          ,17300000,
 DSO 2     1725,          ,          ,          ,          ,3.89E-01,2.10E-01,6.07E-01,6.75E-03,17308088,
 DSO 1     1731,1.921,-9.92E-01,7.94E-01,3.69E-02,          ,          ,          ,          ,17310000,
 DSO 2     1726,          ,          ,          ,          ,4.09E-01,2.30E-01,3.49E-01,1.35E-02,17318088,
 DSO 1     1732,1.762,-1.389,-1.587,3.69E-02,          ,          ,          ,          ,17320000,
 DSO 2     1727,          ,          ,          ,          ,3.69E-01,3.29E-01,5.08E-01,1.39E-02,17328088,
 DSO 1     1733,1.73,5.95E-01,-9.92E-01,4.88E-02,          ,          ,          ,          ,17330000,
 DSO 2     1728,          ,          ,          ,          ,2.90E-01,1.31E-01,-2.26E-01,9.13E-03,17338088,
 DSO 1     1734,1.841,-5.95E-01,-1.389,5.00E-02,          ,          ,          ,          ,17340000,
 DSO 2     1729,          ,          ,          ,          ,1.31E-01,4.09E-01,-1.67E-01,1.39E-02,17348088,
 DSO 1     1735,1.603,-3.571,4.365,4.76E-02,          ,          ,          ,          ,17350000,
 DSO 2     1730,          ,          ,          ,          ,9.13E-02,3.69E-01,5.48E-01,1.43E-02,17358088,
 DSO 1     1736,1.81,-5.159,3.97E-01,3.10E-02,          ,          ,          ,          ,17360000,
 DSO 2     1731,          ,          ,          ,          ,4.48E-01,5.16E-02,4.09E-01,2.78E-03,17368088,
 DSO 1     1737,1.81,-5.95E-01,3.968,4.29E-02,          ,          ,          ,          ,17370000,
 DSO 2     1732,          ,          ,          ,          ,1.31E-01,3.18E-02,3.69E-01,1.07E-02,17378088,
 DSO 1     1738,1.683,-9.92E-01,2.579,2.74E-02,          ,          ,          ,          ,17380000,
 DSO 2     1733,          ,          ,          ,          ,4.09E-01,7.14E-02,4.68E-01,1.79E-02,17388088,
 DSO 1     1739,1.619,-2.778,-1.587,5.00E-02,          ,          ,          ,          ,17390000,
 DSO 2     1734,          ,          ,          ,          ,2.70E-01,3.89E-01,7.46E-01,1.11E-02,17398088,
 DSO 1     1740,1.889,-1.98E-01,-9.92E-01,4.29E-02,          ,          ,          ,          ,17400000,
 DSO 2     1735,          ,          ,          ,          ,2.50E-01,1.31E-01,6.47E-01,2.02E-02,17408088,
 DSO 1     1741,1.937,-1.587,-1.786,3.33E-02,          ,          ,          ,          ,17410000,
 DSO 2     1736,          ,          ,          ,          ,1.31E-01,2.10E-01,2.50E-01,9.92E-03,17418088,
 DSO 1     1742,1.937,-1.389,-2.778,4.41E-02,          ,          ,          ,          ,17420000,
 DSO 2     1737,          ,          ,          ,          ,4.48E-01,1.71E-01,1.19E-02,6.75E-03,17428088,
 DSO 1     1743,1.571,-1.19,7.94E-01,3.81E-02,          ,          ,          ,          ,17430000,
 DSO 2     1738,          ,          ,          ,          ,1.71E-01,2.30E-01,3.89E-01,8.73E-03,17438088,
 DSO 1     1744,1.73,-5.159,1.19,4.05E-02,          ,          ,          ,          ,17440000,
 DSO 2     1739,          ,          ,          ,          ,2.30E-01,4.29E-01,2.90E-01,5.56E-03,17448088,
 DSO 1     1745,1.857,-5.95E-01,3.77,4.76E-02,          ,          ,          ,          ,17450000,
 DSO 2     1740,          ,          ,          ,          ,3.69E-01,2.70E-01,5.08E-01,1.79E-02,17458088,
 DSO 1     1746,1.746,-1.984,1.389,3.33E-02,          ,          ,          ,          ,17460000,
 DSO 2     1741,          ,          ,          ,          ,2.30E-01,2.30E-01,1.71E-01,1.91E-02,17468088,
 DSO 1     1747,1.651,7.94E-01,-7.94E-01,2.86E-02,          ,          ,          ,          ,17470000,
 DSO 2     1742,          ,          ,          ,          ,4.29E-01,3.18E-02,4.29E-01,2.02E-02,17478088,
 DSO 1     1748,1.794,-3.373,-2.381,3.33E-02,          ,          ,          ,          ,17480000,
 DSO 2     1743,          ,          ,          ,          ,2.10E-01,2.50E-01,6.67E-01,1.94E-02,17488088,
 DSO 1     1749,1.905,1.19,1.389,4.76E-02,          ,          ,          ,          ,17490000,
 DSO 2     1744,          ,          ,          ,          ,5.68E-01,1.91E-01,3.49E-01,1.39E-02,17498088,
 DSO 1     1750,1.921,1.19,-4.762,4.29E-02,          ,          ,          ,          ,17500000,
 DSO 2     1745,          ,          ,          ,          ,3.29E-01,3.10E-01,1.71E-01,1.03E-02,17508088,
 DSO 1     1751,1.619,-3.97E-01,3.97E-01,3.33E-02,          ,          ,          ,          ,17510000,
 DSO 2     1746,          ,          ,          ,          ,5.16E-02,1.71E-01,3.69E-01,1.27E-02,17518088,
 DSO 1     1752,1.683,-5.159,1.389,3.81E-02,          ,          ,          ,          ,17520000,
 DSO 2     1747,          ,          ,          ,          ,2.30E-01,2.10E-01,1.31E-01,7.14E-03,17528088,
 DSO 1     1753,1.619,0,-9.92E-01,2.38E-02,          ,          ,          ,          ,17530000,
 DSO 2     1748,          ,          ,          ,          ,4.09E-01,1.91E-01,9.13E-02,7.54E-03,17538088,
 DSO 1     1754,1.603,-1.786,1.98E-01,3.45E-02,          ,          ,          ,          ,17540000,
 DSO 2     1749,          ,          ,          ,          ,3.89E-01,7.14E-02,5.08E-01,2.18E-02,17548088,
 DSO 1     1755,1.698,-3.373,-2.976,3.81E-02,          ,          ,          ,          ,17550000,
 DSO 2     1750,          ,          ,          ,          ,4.29E-01,3.69E-01,2.30E-01,1.87E-02,17558088,
 DSO 1     1756,1.762,-7.94E-01,-3.373,4.17E-02,          ,          ,          ,          ,17560000,
 DSO 2     1751,          ,          ,          ,          ,3.69E-01,2.70E-01,5.28E-01,2.06E-02,17568088,
 DSO 1     1757,1.667,-1.786,1.19,3.21E-02,          ,          ,          ,          ,17570000,
 DSO 2     1752,          ,          ,          ,          ,3.89E-01,2.50E-01,3.29E-01,1.94E-02,17578088,
 DSO 1     1758,1.841,-5.95E-01,-2.183,4.17E-02,          ,          ,          ,          ,17580000,
 DSO 2     1753,          ,          ,          ,          ,4.88E-01,-2.78E-02,2.50E-01,1.67E-02,17588088,
 DSO 1     1759,1.746,-1.587,-3.97E-01,4.17E-02,          ,          ,          ,          ,17590000,
 DSO 2     1754,          ,          ,          ,          ,3.10E-01,-4.76E-02,2.90E-01,5.16E-03,17598088,
 DSO 1     1760,1.762,-3.373,0,4.41E-02,          ,          ,          ,          ,17600000,
 DSO 2     1755,          ,          ,          ,          ,2.50E-01,5.16E-02,4.09E-01,1.11E-02,17608088,
 DSO 1     1761,1.619,-4.563,3.571,2.98E-02,          ,          ,          ,          ,17610000,
 DSO 2     1756,          ,          ,          ,          ,3.89E-01,7.14E-02,1.51E-01,1.43E-02,17618088,
 DSO 1     1762,1.651,1.98E-01,2.183,2.74E-02,          ,          ,          ,          ,17620000,
 DSO 2     1757,          ,          ,          ,          ,3.89E-01,1.71E-01,3.69E-01,1.83E-02,17628088,
 DSO 1     1763,1.587,7.94E-01,3.571,3.69E-02,          ,          ,          ,          ,17630000,
 DSO 2     1758,          ,          ,          ,          ,2.90E-01,2.30E-01,7.66E-01,1.59E-02,17638088,
 DSO 1     1764,1.841,-3.571,-4.167,4.41E-02,          ,          ,          ,          ,17640000,
 DSO 2     1759,          ,          ,          ,          ,1.71E-01,2.50E-01,3.69E-01,1.94E-02,17648088,
 DSO 1     1765,1.762,-2.976,-1.19,4.05E-02,          ,          ,          ,          ,17650000,
 DSO 2     1760,          ,          ,          ,          ,2.10E-01,2.50E-01,2.30E-01,2.22E-02,17658088,
 DSO 1     1766,1.635,2.381,-1.984,3.45E-02,          ,          ,          ,          ,17660000,
 DSO 2     1761,          ,          ,          ,          ,5.08E-01,4.68E-01,1.11E-01,1.15E-02,17668088,
 DSO 1     1767,1.81,-1.19,-2.579,3.45E-02,          ,          ,          ,          ,17670000,
 DSO 2     1762,          ,          ,          ,          ,2.50E-01,1.11E-01,3.89E-01,7.94E-03,17678088,
 DSO 1     1768,1.698,1.98E-01,-1.98E-01,5.60E-02,          ,          ,          ,          ,17680000,
 DSO 2     1763,          ,          ,          ,          ,3.89E-01,9.13E-02,5.87E-01,9.13E-03,17688088,
 DSO 1     1769,1.619,-4.563,9.92E-01,2.62E-02,          ,          ,          ,          ,17690000,
 DSO 2     1764,          ,          ,          ,          ,4.48E-01,4.09E-01,1.51E-01,2.42E-02,17698088,
 DSO 1     1770,1.921,-5.95E-01,5.95E-01,3.81E-02,          ,          ,          ,          ,17700000,
 DSO 2     1765,          ,          ,          ,          ,5.68E-01,-6.75E-02,3.10E-01,1.94E-02,17708088,
 DSO 1     1771,2.032,-2.778,3.97E-01,2.26E-02,          ,          ,          ,          ,17710000,
 DSO 2     1766,          ,          ,          ,          ,1.11E-01,3.18E-02,5.68E-01,1.67E-02,17718088,
 DSO 1     1772,1.667,-1.984,5.95E-01,3.21E-02,          ,          ,          ,          ,17720000,
 DSO 2     1767,          ,          ,          ,          ,3.49E-01,1.11E-01,5.28E-01,1.27E-02,17728088,
 DSO 1     1773,1.73,-3.77,0,2.98E-02,          ,          ,          ,          ,17730000,
 DSO 2     1768,          ,          ,          ,          ,5.08E-01,1.51E-01,3.18E-02,1.51E-02,17738088,
 DSO 1     1774,1.794,5.95E-01,-3.373,5.71E-02,          ,          ,          ,          ,17740000,
 DSO 2     1769,          ,          ,          ,          ,2.70E-01,4.88E-01,-2.78E-02,9.52E-03,17748088,
 DSO 1     1775,1.683,-1.984,-1.98E-01,3.45E-02,          ,          ,          ,          ,17750000,
 DSO 2     1770,          ,          ,          ,          ,-1.27E-01,3.29E-01,3.10E-01,1.31E-02,17758088,
 DSO 1     1776,1.73,-4.563,1.19,4.41E-02,          ,          ,          ,          ,17760000,
 DSO 2     1771,          ,          ,          ,          ,3.89E-01,3.10E-01,2.70E-01,1.11E-02,17768088,
 DSO 1     1777,1.603,-2.183,1.786,2.14E-02,          ,          ,          ,          ,17770000,
 DSO 2     1772,          ,          ,          ,          ,5.08E-01,3.89E-01,2.90E-01,1.71E-02,17778088,
 DSO 1     1778,1.603,-2.183,3.175,3.69E-02,          ,          ,          ,          ,17780000,
 DSO 2     1773,          ,          ,          ,          ,2.90E-01,4.88E-01,3.89E-01,1.63E-02,17788088,
 DSO 1     1779,1.73,-1.786,3.373,2.14E-02,          ,          ,          ,          ,17790000,
 DSO 2     1774,          ,          ,          ,          ,3.69E-01,2.10E-01,4.48E-01,9.13E-03,17798088,
 DSO 1     1780,1.619,0,1.19,3.57E-02,          ,          ,          ,          ,17800000,
 DSO 2     1775,          ,          ,          ,          ,2.90E-01,7.14E-02,7.06E-01,2.06E-02,17808088,
 DSO 1     1781,1.698,-1.587,-5.95E-01,2.98E-02,          ,          ,          ,          ,17810000,
 DSO 2     1776,          ,          ,          ,          ,3.29E-01,1.11E-01,5.08E-01,2.14E-02,17818088,
 DSO 1     1782,1.857,-3.571,-1.19,3.69E-02,          ,          ,          ,          ,17820000,
 DSO 2     1777,          ,          ,          ,          ,7.14E-02,4.29E-01,1.71E-01,1.47E-02,17828088,
 DSO 1     1783,1.762,3.571,-1.389,2.98E-02,          ,          ,          ,          ,17830000,
 DSO 2     1778,          ,          ,          ,          ,1.31E-01,1.51E-01,1.71E-01,1.27E-02,17838088,
 DSO 1     1784,1.825,-3.571,3.97E-01,5.48E-02,          ,          ,          ,          ,17840000,
 DSO 2     1779,          ,          ,          ,          ,1.71E-01,5.16E-02,2.50E-01,5.16E-03,17848088,
 DSO 1     1785,1.54,-3.571,3.373,3.45E-02,          ,          ,          ,          ,17850000,
 DSO 2     1780,          ,          ,          ,          ,3.89E-01,1.31E-01,1.31E-01,1.39E-02,17858088,
