               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,,
 DSO 2       43,          ,          ,          ,          ,4.29E-01,2.30E-01,3.49E-01,1.35E-02,488088,
 DSO 1       49,4.29E-01,-1.984,1.19,4.17E-02,          ,          ,          ,          ,490000,
 DSO 2       44,          ,          ,          ,          ,3.49E-01,3.49E-01,5.08E-01,1.19E-02,498088,
 DSO 1       50,6.98E-01,-1.587,-7.94E-01,4.88E-02,          ,          ,          ,          ,500000,
 DSO 2       45,          ,          ,          ,          ,2.70E-01,1.31E-01,-2.06E-01,9.52E-03,508088,
 DSO 1       51,6.35E-01,-1.98E-01,3.968,3.81E-02,          ,          ,          ,          ,510000,
 DSO 2       46,          ,          ,          ,          ,1.11E-01,3.69E-01,-1.87E-01,1.27E-02,518088,
 DSO 1       52,8.89E-01,3.77,5.952,4.52E-02,          ,          ,          ,          ,520000,
 DSO 2       47,          ,          ,          ,          ,3.18E-02,3.10E-01,5.08E-01,1.07E-02,528088,
 DSO 1       53,8.25E-01,-1.98E-01,2.778,6.43E-02,          ,          ,          ,          ,530000,
 DSO 2       48,          ,          ,          ,          ,4.09E-01,3.18E-02,3.69E-01,4.76E-03,538088,
 DSO 1       54,8.89E-01,2.778,4.167,5.71E-02,          ,          ,          ,          ,540000,
 DSO 2       49,          ,          ,          ,          ,1.11E-01,5.16E-02,3.49E-01,1.23E-02,548088,
 DSO 1       55,7.62E-01,2.579,5.95E-01,5.12E-02,          ,          ,          ,          ,550000,
 DSO 2       50,          ,          ,          ,          ,3.69E-01,3.18E-02,4.09E-01,1.79E-02,558088,
 DSO 1       56,4.76E-01,1.98E-01,4.167,4.41E-02,          ,          ,          ,          ,560000,
 DSO 2       51,          ,          ,          ,          ,2.50E-01,3.89E-01,7.46E-01,1.27E-02,568088,
 DSO 1       57,7.94E-01,-3.97E-01,3.97E-01,4.29E-02,          ,          ,          ,          ,570000,
 DSO 2       52,          ,          ,          ,          ,1.91E-01,1.11E-01,6.47E-01,2.06E-02,578088,
 DSO 1       58,8.73E-01,1.19,2.579,4.05E-02,          ,          ,          ,          ,580000,
 DSO 2       53,          ,          ,          ,          ,1.31E-01,2.30E-01,1.91E-01,1.11E-02,588088,
 DSO 1       59,7.62E-01,1.587,1.98E-01,3.57E-02,          ,          ,          ,          ,590000,
 DSO 2       54,          ,          ,          ,          ,4.09E-01,1.51E-01,-7.94E-03,1.11E-02,598088,
 DSO 1       60,9.05E-01,-7.94E-01,3.968,5.71E-02,          ,          ,          ,          ,600000,
 DSO 2       55,          ,          ,          ,          ,1.31E-01,2.70E-01,3.29E-01,9.92E-03,608088,
 DSO 1       61,9.37E-01,3.97E-01,1.786,5.36E-02,          ,          ,          ,          ,610000,
 DSO 2       56,          ,          ,          ,          ,1.91E-01,4.29E-01,2.70E-01,1.98E-03,618088,
 DSO 1       62,6.98E-01,5.95E-01,7.94E-01,6.19E-02,          ,          ,          ,          ,620000,
 DSO 2       57,          ,          ,          ,          ,3.29E-01,3.10E-01,4.68E-01,1.55E-02,628088,
 DSO 1       63,8.41E-01,7.94E-01,-1.98E-01,5.95E-02,          ,          ,          ,          ,630000,
 DSO 2       58,          ,          ,          ,          ,1.91E-01,2.30E-01,1.31E-01,1.71E-02,638088,
 DSO 1       64,4.29E-01,-2.381,1.19,4.64E-02,          ,          ,          ,          ,640000,
 DSO 2       59,          ,          ,          ,          ,4.29E-01,5.16E-02,4.29E-01,1.94E-02,648088,
 DSO 1       65,6.98E-01,-7.94E-01,3.175,4.64E-02,          ,          ,          ,          ,650000,
 DSO 2       60,          ,          ,          ,          ,1.91E-01,2.50E-01,6.67E-01,1.83E-02,658088,
 DSO 1       66,7.30E-01,1.389,1.587,4.52E-02,          ,          ,          ,          ,660000,
 DSO 2       61,          ,          ,          ,          ,5.48E-01,2.30E-01,3.29E-01,1.19E-02,668088,
 DSO 1       67,6.67E-01,1.98E-01,2.579,3.93E-02,          ,          ,          ,          ,670000,
 DSO 2       62,          ,          ,          ,          ,2.90E-01,2.70E-01,1.51E-01,9.52E-03,678088,
 DSO 1       68,7.14E-01,1.98E-01,2.976,6.67E-02,          ,          ,          ,          ,680000,
 DSO 2       63,          ,          ,          ,          ,5.16E-02,1.11E-01,3.49E-01,1.07E-02,688088,
 DSO 1       69,9.05E-01,-7.94E-01,-5.95E-01,7.14E-02,          ,          ,          ,          ,690000,
 DSO 2       64,          ,          ,          ,          ,2.10E-01,2.10E-01,9.13E-02,5.56E-03,698088,
 DSO 1       70,8.89E-01,9.92E-01,3.571,5.60E-02,          ,          ,          ,          ,700000,
 DSO 2       65,          ,          ,          ,          ,3.89E-01,1.71E-01,7.14E-02,7.94E-03,708088,
 DSO 1       71,5.40E-01,1.984,7.94E-01,5.00E-02,          ,          ,          ,          ,710000,
 DSO 2       66,          ,          ,          ,          ,3.49E-01,3.18E-02,4.68E-01,2.10E-02,718088,
 DSO 1       72,7.46E-01,1.984,2.183,3.57E-02,          ,          ,          ,          ,720000,
 DSO 2       67,          ,          ,          ,          ,4.09E-01,3.69E-01,2.50E-01,1.71E-02,728088,
 DSO 1       73,7.46E-01,-2.183,1.389,5.24E-02,          ,          ,          ,          ,730000,
 DSO 2       68,          ,          ,          ,          ,3.69E-01,2.50E-01,4.88E-01,2.02E-02,738088,
 DSO 1       74,5.71E-01,-5.95E-01,3.373,1.67E-02,          ,          ,          ,          ,740000,
 DSO 2       69,          ,          ,          ,          ,3.89E-01,2.30E-01,3.10E-01,1.67E-02,748088,
 DSO 1       75,6.67E-01,-7.94E-01,-9.92E-01,3.81E-02,          ,          ,          ,          ,750000,
 DSO 2       70,          ,          ,          ,          ,4.29E-01,-4.76E-02,2.10E-01,1.15E-02,758088,
 DSO 1       76,6.03E-01,-1.19,3.373,5.36E-02,          ,          ,          ,          ,760000,
 DSO 2       71,          ,          ,          ,          ,3.10E-01,-4.76E-02,2.50E-01,7.94E-03,768088,
 DSO 1       77,8.10E-01,-1.587,1.19,5.60E-02,          ,          ,          ,          ,770000,
 DSO 2       72,          ,          ,          ,          ,2.70E-01,3.18E-02,3.49E-01,9.13E-03,778088,
 DSO 1       78,6.83E-01,-1.389,2.381,4.41E-02,          ,          ,          ,          ,780000,
 DSO 2       73,          ,          ,          ,          ,3.89E-01,5.16E-02,1.11E-01,1.07E-02,788088,
 DSO 1       79,8.25E-01,5.357,4.365,6.19E-02,          ,          ,          ,          ,790000,
 DSO 2       74,          ,          ,          ,          ,3.49E-01,1.71E-01,3.10E-01,1.94E-02,798088,
 DSO 1       80,8.73E-01,9.92E-01,4.96,7.26E-02,          ,          ,          ,          ,800000,
 DSO 2       75,          ,          ,          ,          ,2.70E-01,2.50E-01,7.86E-01,1.71E-02,808088,
 DSO 1       81,5.56E-01,-2.778,2.579,4.88E-02,          ,          ,          ,          ,810000,
 DSO 2       76,          ,          ,          ,          ,1.31E-01,2.90E-01,3.69E-01,2.06E-02,818088,
 DSO 1       82,4.92E-01,0,4.563,2.98E-02,          ,          ,          ,          ,820000,
 DSO 2       77,          ,          ,          ,          ,1.51E-01,2.50E-01,1.91E-01,2.14E-02,828088,
 DSO 1       83,5.87E-01,1.786,2.579,5.00E-02,          ,          ,          ,          ,830000,
 DSO 2       78,          ,          ,          ,          ,5.08E-01,4.48E-01,9.13E-02,9.92E-03,838088,
 DSO 1       84,7.62E-01,-1.98E-01,4.762,2.38E-02,          ,          ,          ,          ,840000,
 DSO 2       79,          ,          ,          ,          ,2.30E-01,1.11E-01,3.89E-01,8.33E-03,848088,
