1920	-3373	198.4	44.05
1925		--	
1930	-3373	3.37E+03	64.29
1935		--	
1940	3.77E+03	1.98E+03	2.381
1945		--	
1950	-1587	3.77E+03	39.29
1955		--	
1960	-2976	793.7	5.952
1965		--	
1970	-2183	-2183	50
1975		--	
1980	396.8	-396.8	-2.376
1985		--	
1990	1.19E+03	992.1	29.76
1995		--	
2000	2.18E+03	-2976	4.762
2005		--	
2010	-3571	4.76E+03	65.48
2015		--	
2020	-1190	-992.1	4.762
2025		--	
2030	-2579	2.98E+03	29.76
2035		--	
2040	-2381	595.2	-2.376
2045		--	
2050	-396.8	198.4	52.38
2055		--	
2060	-2579	1.19E+03	3.571
2065		--	
2070	-793.7	793.7	46.43
2075		--	
2080	1.39E+03	-2183	-2.376
2085		--	
2090	-396.8	2.18E+03	-2.376
2095		--	
2100	7.54E+03	-2778	16.67
2105		--	
2110	1.01E+04	-595.2	35.71
2115		--	
2120	4.17E+03	-2976	8.333
2125		--	
2130	6.94E+03	-6944	50
2135		--	
2140	1.25E+04	-9524	-2.376
2145		--	
2150	8.33E+03	-7738	3.571
2155		--	
2160	1.01E+04	-6349	46.43
2165		--	
2170	6.75E+03	-5556	125
2175		--	
2180	6.15E+03	-5556	91.67
2185		--	
2190	7.34E+03	-4365	94.05
2195		--	
2200	1.03E+04	-6151	19.97ne3   
2205		--	
2210	1.09E+04	-8730	-2.376
2215		--	
2220	9.52E+03	-7143	-2.376
2225		--	
2230	1.13E+04	-7738	-2.376
2235		--	
2240	1.05E+04	-10520	35.71
2245		--	
2250	6.55E+03	-5159	28.57
2255		--	
2260	7.54E+03	-7540	28.57
2265		--	
2270	6.55E+03	-5357	52.38
2275		--	
2280	9.92E+03	-3968	16.67
2285		--	
2290	1.07E+04	-8929	86.9
2295		--	
2300	8.14E+03	-5754	113.1
2305		--	
2310	1.01E+04	-8532	102.4
2315		--	
2320	1.25E+04	-7937	3.571
2325		--	
2330	8.73E+03	-11510	10.71
2335		--	
2340	8.73E+03	-5754	-2.376
2345		--	
2350	4.76E+03	-6151	17.86
2355		--	
2360	1.21E+04	-6151	-2.376
2365		--	
2370	1.07E+04	-8730	29.76
2375		--	
2380	9.13E+03	-7143	7.143
2385		--	
2390	9.13E+03	-9524	51.19
2395		--	
2400	1.09E+04	-8730	19.05
2405		--	
2410	9.92E+03	-8532	72.62
2415		--	
2420	6.15E+03	-2778	38.1
2425		--	
2430	4.76E+03	-7143	69.05
2435		--	
2440	9.72E+03	-3571	45.24
2445		--	
2450	9.13E+03	-4762	26.19
2455		--	
2460	7.34E+03	-9127	209.5
2465		--	
2470	9.92E+03	-8532	242.9
2475		--	
2480	8.73E+03	-9524	110.7
2485		--	
2490	8.73E+03	-10520	110.7
2495		--	
2500	8.33E+03	-6151	8.333
2505		--	
2510	4.76E+03	-6349	4.762
2515		--	
2520	9.33E+03	-3770	9.524
2525		--	
2530	7.94E+03	-5952	53.57
2535		--	
2540	1.05E+04	-7937	61.9
2545		--	
2550	6.55E+03	-9325	67.86
2555		--	
2560	1.05E+04	-6151	32.14
2565		--	
2570	1.11E+04	-12500	40.48
2575		--	
2580	8.53E+03	-6349	32.14
2585		--	
2590	4.37E+03	-5754	34.52
2595		--	
2600	9.33E+03	-8135	3.571
2605		--	
