				Integrated Y1	Integrated Y2							
				Integrate of B x=(0,7490) Area = -5.63888e+06	Integrate of C x=(0,7490) Area = -397100							
260	0	-2778	27.38	-262895	181545	84689.4219393895	79197.635504143	-890.218918918919	32.14	753.66544436807	31.7038121201997	5491.7864352465
265		--		--	--	--	--	-617.12222222222	34.6724524524525	766.120899992837	42.6103144863538	--
270	-3373	1786	16.67	-279760	176585	80394.1279078131	71985.6993015671	572.955555555555	42.7097697697698	773.700922207486	39.4264652532147	8408.42860624606
275		--		--	--	--	--	-426.66336336336	44.6110510510511	780.276168990379	21.8243693182604	--
280	-2579	0	33.33	-309520	185515	63203.8338762368	78663.7630989911	-1949.78658658659	44.6622722722723	791.489490285419	33.5830078724216	-15459.9292227544
285		--		--	--	--	--	-3641.70670670671	39.8486986986987	804.25448539132	23.4551350462684	--
290	-3571	2183	38.1	-340270	196430	45023.5398446604	87326.8268964152	-5129.21021021022	26.4581681681681	820.723925873864	23.4121090426385	-42303.2870517548
295		--		--	--	--	--	-1660.04624624624	34.9406906906907	827.430319681783	41.7742152887205	--
300	0	3770	25	-358125	226195	39738.245813084	114839.890693839	-781.093093093092	32.3297897897898	835.341213047654	37.9993847915491	-75101.6448807553
305		--		--	--	--	--	-1515.35135135135	30.3734234234235	846.160246172713	35.1737838971479	--
310	793.7	-1984	33.33	-354156.5	235125	56276.4517815077	121517.954491263	-2556.75375375375	43.763953953954	855.389934325965	26.4565663698785	-65241.5027097557
315		--		--	--	--	--	-686.700700700706	38.8038038038038	864.384209597567	21.740651305325	--
320	-1786	1786	22.62	-359118	234135	63884.6577499313	118276.018288687	-863.501501501505	32.8725825825826	875.297484456244	21.5647915461916	-54391.3605387561
325		--		--	--	--	--	-1739.58658658659	30.7927127127127	885.909734107567	23.4323586644052	--
330	-396.8	-992.1	40.48	-370032	238104.5	65540.3637183549	119993.582086111	-1590.38638638639	37.9378278278278	901.411699959908	28.3879537713741	-54453.2183677566
335		--		--	--	--	--	-1441.91891891892	33.7329129129129	917.321093617541	29.2927391570759	--
340	1984	-595.2	39.29	-362096	230168	86046.0696867785	109805.145883536	-3111.94494494496	31.5658458458458	926.874386699422	42.1118106968602	-23759.076196757
345		--		--	--	--	--	-3946.35275275277	33.1631731731731	935.140697824721	37.7934845616245	--
350	-1786	-3770	36.9	-361106	208342	99605.7756552022	85727.2096809596	-673.845045045042	40.3082882882883	944.888790342597	33.7843153488015	13878.5659742426
355		--		--	--	--	--	-1611.42902902904	29.1527927927927	953.968329417332	30.0869452560069	--
360	-1190	1587	30.95	-375986	197427	97295.4816236258	72560.2734783837	-551.062962962973	23.2811111111111	962.027796294925	15.9791543136719	24735.2081452421
365		--		--	--	--	--	-17.2474474474487	22.8058258258258	973.551902011867	31.0770786902554	--
370	-5159	1190	26.19	-407731	211312	78120.1875920494	84193.3372758078	-3289.9800800801	27.2668368368369	980.178595570364	49.3209264974831	-6073.14968375833
375		--		--	--	--	--	-183.287287287304	37.8221421421421	981.383962377047	68.8321989972625	--
380	1786	1587	26.19	-424596	225197	73824.8935604731	95826.4010732318	1277.93783783784	39.3781081081081	982.589329183731	88.3434714970422	-22001.5075127588
385		--		--	--	--	--	1084.59159159158	35.2561561561561	983.794695990414	107.854743996822	--
390	992.1	-1190	42.86	-410705.5	227182	100285.099528897	95559.4648706559	-551.512312312303	29.902942942943	985.000062797097	127.366016496601	4725.6346582408
395		--		--	--	--	--	-3925.54054054054	33.2335135135135	986.20542960378	146.87728899638	--
400	-793.7	595.2	32.14	-409713.5	224208	113846.80549732	90333.52866808	-2685.36536536535	26.5318718718718	987.410796410463	166.38856149616	23513.2768292404
405		--		--	--	--	--	-363.786786786779	19.7694794794794	988.616163217146	185.899833995939	--
410	-992.1	-1786	32.14	-418642.5	218254	117487.511465744	82127.592465504	-1553.63963963964	26.0148948948949	989.821530023829	205.411106495719	35359.9190002399
415		--		--	--	--	--	-3032.7977977978	30.525935935936	991.573936026315	191.720472686003	--
420	595.2	-992.1	42.86	-420627	204363.5	128072.717434168	65985.1562629281	-2242.12172172174	33.8481681681682	993.421414941034	172.259499294136	62087.5611712395
425		--		--	--	--	--	-1020.17087087087	32.9940840840841	995.268893855753	152.798525902269	--
430	-793.7	-1587	45.24	-421619.5	191468	139649.923402591	50837.7200603522	-1764.14754754755	24.072062062062	997.116372770472	133.337552510401	88812.2033422391
435		--		--	--	--	--	-775.040640640649	29.8719719719719	998.963851685191	113.876579118534	--
440	-3175	4365	44.05	-441463	205358	132376.129371015	62475.7838577762	-870.553153153151	31.5718018018018	1000.81133059991	94.4156057266663	69900.3455132387
445		--		--	--	--	--	-1794.82782782783	32.302002002002	1002.65880951463	74.954632334799	--
450	-5159	396.8	26.19	-483133	229167	103275.835339439	84032.8476552003	-3133.88088088089	36.7630130130131	1004.50628842935	55.4936589429316	19242.9876842382
455		--		--	--	--	--	-4183.69669669669	23.927927927928	1006.35376734407	36.0326855510642	--
460	-396.8	3571	38.1	-510912	249006	88066.5413078622	101619.911452624	-2483.37077077077	20.751021021021	1008.20124625879	16.5717121591966	-13553.3701447622
465		--		--	--	--	--	115.692492492499	24.7736736736737	1010.05070457666	-1.86293052965396	--
470	-1190	2976	26.19	-518846	281741	92702.2472762858	132102.975250048	1156.64504504504	31.9112912912913	1011.97323516049	17.5907719419467	-39400.7279737627
475		--		--	--	--	--	-2265.18018018018	39.9197797797798	1013.89576574431	37.0444744135474	--
480	-2579	-1786	44.05	-537691	287691	86426.9532447094	135801.039047473	-3288.09209209209	40.0261661661661	1015.81829632814	56.498176885148	-49374.0858027631
485		--		--	--	--	--	-1769.46846846849	35.827927927928	1017.74082691196	75.9518793567489	--
490	0	-1190	36.9	-550586	272811	86101.6592131331	118669.102844897	2246.94094094094	32.2591191191191	1019.66335749579	95.4055818283496	-32567.4436317635
495		--		--	--	--	--	224.074274274263	31.2775775775776	1021.58588807961	114.85928429995	--
500	-1786	-1786	28.57	-559516	257931	89741.3651815567	101537.166642321	-218.65705705706	39.9887387387387	1023.50841866343	134.312986771551	-11795.801460764
505		--		--	--	--	--	-913.841841841842	43.5939139139139	1025.43094924726	153.766689243152	--
510	-1587	-2976	38.1	-576381	234121	85446.0711499803	75475.2304397447	-4632.90050050052	22.1735635635635	1027.35347983108	173.220391714752	9970.84071023559
515		--		--	--	--	--	-1602.80120120122	31.7647747747747	1029.27601041491	192.674094186353	--
520	-1389	992.1	32.14	-591261	224201.5	83135.7771184038	63303.7942371688	-1524.23503503503	28.9487987987988	1031.76633679361	212.058192511062	19831.982881235
525		--		--	--	--	--	-2556.56256256256	22.4925425425426	1034.59964538352	231.400245818136	--
530	-4960	992.1	30.95	-623006	234122.5	63960.4830868275	70972.8580345929	-1812.81081081082	26.0613513513513	1037.43295397342	250.74229912521	-7012.37494776541
535		--		--	--	--	--	-3362.98098098098	22.7498398398398	1040.26626256332	270.084352432284	--
540	-595.2	3373	40.48	-650782	255948	48754.1890552511	90546.4218320169	-1624.48928928928	34.3662962962964	1043.09957115323	289.426405739357	-41792.2327767659
545		--		--	--	--	--	330.74444444446	44.3122222222223	1045.42146420654	295.977391249359	--
550	-1984	1190	25	-663678	278763	48427.8950236747	111109.485629441	-1900.58578578578	29.1372872872873	1046.70152003959	276.470876420626	-62681.5906057663
555		--		--	--	--	--	-3845.32032032033	36.3068568568569	1047.98157587265	256.964361591893	--
560	992.1	-992.1	21.43	-668637.5	279752.5	56038.1009920983	109847.049426865	-3440.89789789791	28.0642642642644	1049.2616317057	237.45784676316	-53808.9484347667
565		--		--	--	--	--	-2183	18.639039039039	1050.54168753875	217.951331934428	--
570	-3373	-2381	27.38	-680542	262887	56703.306960522	90729.6132242891	-2183	29.3454654654655	1051.82174337181	198.444817105695	-34026.3062637672
575		--		--	--	--	--	-1896.87387387387	18.6104504504504	1053.10179920486	178.938302276963	--
580	992.1	1190	41.67	-692446.5	256932	57368.5129289456	82522.6770217132	-945.739739739744	21.5681781781781	1054.38185503791	159.43178744823	-25154.1640927676
585		--		--	--	--	--	-262.062062062064	29.2358758758759	1055.66191087097	139.925272619497	--
590	1587	-4960	36.9	-679551	238082	82833.7188973692	61420.7408191373	-1154.26426426427	27.4514714714715	1056.94196670402	120.418757790765	21412.978078232
595		--		--	--	--	--	-2761.14814814814	32.5187987987988	1058.22202253707	100.912242962032	--
