               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Timestamp
 DSO 1       42,8.25E-01,-5.95E-01,5.95E-01,3.57E-02,          ,          ,          ,          ,420000
 DSO 2       37,          ,          ,          ,          ,5.28E-01,1.91E-01,1.91E-01,1.87E-02,421692
 DSO 1       43,8.89E-01,-2.579,0,2.14E-02,          ,          ,          ,          ,430000
 DSO 2       38,          ,          ,          ,          ,4.29E-01,5.16E-02,5.48E-01,1.35E-02,431692
 DSO 1       44,5.87E-01,-1.984,1.98E-01,2.86E-02,          ,          ,          ,          ,440000
 DSO 2       39,          ,          ,          ,          ,9.25E-01,7.06E-01,8.06E-01,2.02E-02,441692
 DSO 1       45,6.35E-01,-3.373,0,2.26E-02,          ,          ,          ,          ,450000
 DSO 2       40,          ,          ,          ,          ,7.86E-01,9.25E-01,5.87E-01,1.75E-02,451692
 DSO 1       46,7.46E-01,9.92E-01,-3.373,5.00E-02,          ,          ,          ,          ,460000
 DSO 2       41,          ,          ,          ,          ,6.67E-01,6.87E-01,7.06E-01,2.42E-02,461692
 DSO 1       47,5.40E-01,-1.786,-5.95E-01,2.86E-02,          ,          ,          ,          ,470000
 DSO 2       42,          ,          ,          ,          ,4.29E-01,3.69E-01,5.08E-01,2.50E-02,471692
 DSO 1       48,6.83E-01,-4.365,1.389,4.17E-02,          ,          ,          ,          ,480000
 DSO 2       43,          ,          ,          ,          ,3.89E-01,-7.94E-03,3.69E-01,1.47E-02,481692
 DSO 1       49,5.24E-01,-1.984,1.389,1.55E-02,          ,          ,          ,          ,490000
 DSO 2       44,          ,          ,          ,          ,9.13E-02,1.11E-01,3.10E-01,1.71E-02,491692
 DSO 1       50,4.92E-01,-1.984,2.976,2.98E-02,          ,          ,          ,          ,500000
 DSO 2       45,          ,          ,          ,          ,1.11E-01,1.71E-01,4.88E-01,1.71E-02,501692
 DSO 1       51,6.19E-01,-1.786,3.373,1.43E-02,          ,          ,          ,          ,510000
 DSO 2       46,          ,          ,          ,          ,2.70E-01,2.70E-01,2.90E-01,1.67E-02,511692
 DSO 1       52,6.03E-01,1.98E-01,9.92E-01,2.98E-02,          ,          ,          ,          ,520000
 DSO 2       47,          ,          ,          ,          ,7.26E-01,5.48E-01,7.06E-01,1.94E-02,521692
 DSO 1       53,6.35E-01,-9.92E-01,-7.94E-01,2.86E-02,          ,          ,          ,          ,530000
 DSO 2       48,          ,          ,          ,          ,6.27E-01,2.50E-01,6.07E-01,2.14E-02,531692
 DSO 1       54,7.94E-01,-3.373,-1.587,3.45E-02,          ,          ,          ,          ,540000
 DSO 2       49,          ,          ,          ,          ,6.67E-01,5.48E-01,8.25E-01,2.46E-02,541692
 DSO 1       55,6.51E-01,3.968,-1.389,2.50E-02,          ,          ,          ,          ,550000
 DSO 2       50,          ,          ,          ,          ,4.48E-01,7.26E-01,8.45E-01,1.94E-02,551692
 DSO 1       56,8.10E-01,-3.968,1.98E-01,5.00E-02,          ,          ,          ,          ,560000
 DSO 2       51,          ,          ,          ,          ,3.49E-01,-1.27E-01,4.29E-01,1.59E-02,561692
 DSO 1       57,4.44E-01,-3.373,3.571,2.98E-02,          ,          ,          ,          ,570000
 DSO 2       52,          ,          ,          ,          ,4.29E-01,1.11E-01,2.90E-01,1.59E-02,571692
