               ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 1     ,DSO 2     ,DSO 2     ,DSO 2     ,DSO 2     ,           
Sample         ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,Channel1  ,Channel2  ,Channel3  ,Channel4  ,  Timestamp
 DSO 2       45,          ,          ,          ,          ,-0.119    ,-0.317    ,0.031     ,0.0095    ,   -7686862
 DSO 1       52,0.619     ,-1.19     ,3.37      ,0.0873    ,          ,          ,          ,          ,   -7677276
 DSO 2       46,          ,          ,          ,          ,-0.258    ,0.000     ,0.031     ,0.0127    ,   -7676862
 DSO 1       53,0.857     ,-1.79     ,1.19      ,0.0913    ,          ,          ,          ,          ,   -7667276
 DSO 2       47,          ,          ,          ,          ,-0.317    ,-0.079    ,0.471     ,0.0107    ,   -7666862
 DSO 1       54,0.714     ,-1.59     ,2.58      ,0.0734    ,          ,          ,          ,          ,   -7657276
 DSO 2       48,          ,          ,          ,          ,0.099     ,-0.357    ,0.388     ,0.0052    ,   -7656862
 DSO 1       55,0.857     ,4.96      ,4.17      ,0.1032    ,          ,          ,          ,          ,   -7647276
 DSO 2       49,          ,          ,          ,          ,-0.258    ,-0.397    ,0.388     ,0.0127    ,   -7646862
 DSO 1       56,0.889     ,0.79      ,5.16      ,0.1171    ,          ,          ,          ,          ,   -7637276
 DSO 2       50,          ,          ,          ,          ,0.000     ,-0.397    ,0.424     ,0.0175    ,   -7636862
 DSO 1       57,0.571     ,-3.17     ,2.38      ,0.0774    ,          ,          ,          ,          ,   -7627276
 DSO 2       51,          ,          ,          ,          ,-0.119    ,0.000     ,0.579     ,0.0123    ,   -7626862
 DSO 1       58,0.524     ,-0.40     ,4.56      ,0.0456    ,          ,          ,          ,          ,   -7617276
 DSO 2       52,          ,          ,          ,          ,-0.159    ,-0.317    ,0.531     ,0.0194    ,   -7616862
 DSO 1       59,0.603     ,1.39      ,2.58      ,0.0813    ,          ,          ,          ,          ,   -7607276
 DSO 2       53,          ,          ,          ,          ,-0.258    ,-0.218    ,0.269     ,0.0111    ,   -7606862
 DSO 1       60,0.794     ,-0.20     ,4.96      ,0.0377    ,          ,          ,          ,          ,   -7597276
 DSO 2       54,          ,          ,          ,          ,0.060     ,-0.298    ,0.162     ,0.0103    ,   -7596862
 DSO 1       61,0.952     ,-0.79     ,2.78      ,0.0714    ,          ,          ,          ,          ,   -7587276
 DSO 2       55,          ,          ,          ,          ,-0.218    ,-0.159    ,0.388     ,0.0091    ,   -7586862
 DSO 1       62,0.825     ,-0.60     ,0.20      ,0.0635    ,          ,          ,          ,          ,   -7577276
 DSO 2       56,          ,          ,          ,          ,-0.159    ,0.020     ,0.317     ,0.0016    ,   -7576862
 DSO 1       63,0.667     ,2.58      ,3.37      ,0.1052    ,          ,          ,          ,          ,   -7567276
 DSO 2       57,          ,          ,          ,          ,-0.040    ,-0.179    ,0.448     ,0.0159    ,   -7566862
 DSO 1       64,0.905     ,2.38      ,1.98      ,0.0774    ,          ,          ,          ,          ,   -7557276
 DSO 2       58,          ,          ,          ,          ,-0.159    ,-0.218    ,0.245     ,0.0175    ,   -7556862
 DSO 1       65,0.794     ,-1.79     ,3.37      ,0.0675    ,          ,          ,          ,          ,   -7547276
 DSO 2       59,          ,          ,          ,          ,0.040     ,-0.337    ,0.412     ,0.0187    ,   -7546862
 DSO 1       66,0.810     ,-0.40     ,3.17      ,0.0595    ,          ,          ,          ,          ,   -7537276
 DSO 2       60,          ,          ,          ,          ,-0.179    ,-0.119    ,0.543     ,0.0183    ,   -7536862
 DSO 1       67,0.762     ,0.60      ,3.37      ,0.0873    ,          ,          ,          ,          ,   -7527276
 DSO 2       61,          ,          ,          ,          ,0.159     ,-0.258    ,0.376     ,0.0115    ,   -7526862
 DSO 1       68,0.651     ,0.99      ,2.58      ,0.0734    ,          ,          ,          ,          ,   -7517276
 DSO 2       62,          ,          ,          ,          ,-0.060    ,-0.139    ,0.269     ,0.0095    ,   -7516862
 DSO 1       69,0.952     ,-1.19     ,-0.79     ,0.1171    ,          ,          ,          ,          ,   -7507276
 DSO 2       63,          ,          ,          ,          ,-0.298    ,-0.258    ,0.364     ,0.0115    ,   -7506862
 DSO 1       70,0.810     ,-2.98     ,1.79      ,0.0635    ,          ,          ,          ,          ,   -7497276
 DSO 2       64,          ,          ,          ,          ,-0.119    ,-0.159    ,0.245     ,0.0067    ,   -7496862
 DSO 1       71,0.714     ,4.17      ,1.79      ,0.1250    ,          ,          ,          ,          ,   -7487276
 DSO 2       65,          ,          ,          ,          ,0.040     ,-0.238    ,0.198     ,0.0091    ,   -7486862
 DSO 1       72,0.857     ,0.40      ,2.98      ,0.0873    ,          ,          ,          ,          ,   -7477276
 DSO 2       66,          ,          ,          ,          ,-0.020    ,-0.377    ,0.460     ,0.0214    ,   -7476862
 DSO 1       73,0.810     ,-2.18     ,1.39      ,0.0476    ,          ,          ,          ,          ,   -7467276
 DSO 2       67,          ,          ,          ,          ,0.040     ,-0.060    ,0.281     ,0.0167    ,   -7466862
 DSO 1       74,0.714     ,-3.57     ,0.99      ,0.0456    ,          ,          ,          ,          ,   -7457276
 DSO 2       68,          ,          ,          ,          ,-0.020    ,-0.139    ,0.448     ,0.0202    ,   -7456862
 DSO 1       75,0.683     ,-0.79     ,-0.99     ,0.0655    ,          ,          ,          ,          ,   -7447276
 DSO 2       69,          ,          ,          ,          ,0.079     ,-0.179    ,0.352     ,0.0159    ,   -7446862
 DSO 1       76,0.857     ,0.40      ,4.56      ,0.0595    ,          ,          ,          ,          ,   -7437276
 DSO 2       70,          ,          ,          ,          ,0.079     ,-0.476    ,0.305     ,0.0107    ,   -7436862
 DSO 1       77,0.571     ,0.20      ,1.39      ,0.1012    ,          ,          ,          ,          ,   -7427276
 DSO 2       71,          ,          ,          ,          ,-0.040    ,-0.437    ,0.340     ,0.0083    ,   -7426862
 DSO 1       78,1.048     ,0.79      ,-0.20     ,0.0536    ,          ,          ,          ,          ,   -7417276
 DSO 2       72,          ,          ,          ,          ,-0.119    ,-0.357    ,0.388     ,0.0091    ,   -7416862
 DSO 1       79,0.952     ,1.39      ,4.37      ,0.0754    ,          ,          ,          ,          ,   -7407276
 DSO 2       73,          ,          ,          ,          ,0.060     ,-0.337    ,0.233     ,0.0099    ,   -7406862
 DSO 1       80,0.730     ,0.60      ,3.77      ,0.0853    ,          ,          ,          ,          ,   -7397276
 DSO 2       74,          ,          ,          ,          ,-0.020    ,-0.298    ,0.376     ,0.0187    ,   -7396862
 DSO 1       81,0.841     ,0.99      ,2.38      ,0.0853    ,          ,          ,          ,          ,   -7387276
 DSO 2       75,          ,          ,          ,          ,-0.099    ,-0.159    ,0.650     ,0.0163    ,   -7386862
 DSO 1       82,0.778     ,-2.38     ,4.56      ,0.0317    ,          ,          ,          ,          ,   -7377276
 DSO 2       76,          ,          ,          ,          ,-0.238    ,-0.119    ,0.376     ,0.0202    ,   -7376862
 DSO 1       83,0.635     ,-1.59     ,4.96      ,0.0298    ,          ,          ,          ,          ,   -7367276
 DSO 2       77,          ,          ,          ,          ,-0.179    ,-0.139    ,0.281     ,0.0210    ,   -7366862
 DSO 1       84,0.810     ,-0.79     ,3.17      ,0.0694    ,          ,          ,          ,          ,   -7357276
 DSO 2       78,          ,          ,          ,          ,0.119     ,0.020     ,0.245     ,0.0095    ,   -7356862
 DSO 1       85,0.762     ,-0.60     ,3.57      ,0.0218    ,          ,          ,          ,          ,   -7347276
 DSO 2       79,          ,          ,          ,          ,-0.119    ,-0.298    ,0.376     ,0.0079    ,   -7346862
 DSO 1       86,0.825     ,1.19      ,2.18      ,0.0853    ,          ,          ,          ,          ,   -7337276
 DSO 2       80,          ,          ,          ,          ,0.040     ,-0.317    ,0.495     ,0.0103    ,   -7336862
 DSO 1       87,0.651     ,1.39      ,4.37      ,0.0933    ,          ,          ,          ,          ,   -7327276
 DSO 2       81,          ,          ,          ,          ,0.040     ,0.000     ,0.245     ,0.0222    ,   -7326862
 DSO 1       88,1.063     ,3.37      ,5.56      ,0.0992    ,          ,          ,          ,          ,   -7317276
 DSO 2       82,          ,          ,          ,          ,0.198     ,-0.516    ,0.388     ,0.0155    ,   -7316862
 DSO 1       89,0.778     ,1.79      ,3.17      ,0.0694    ,          ,          ,          ,          ,   -7307276
 DSO 2       83,          ,          ,          ,          ,-0.278    ,-0.397    ,0.507     ,0.0171    ,   -7306862
 DSO 1       90,0.794     ,-2.98     ,2.98      ,0.0476    ,          ,          ,          ,          ,   -7297276
 DSO 2       84,          ,          ,          ,          ,-0.040    ,-0.298    ,0.483     ,0.0123    ,   -7296862
 DSO 1       91,0.841     ,0.00      ,1.59      ,0.0357    ,          ,          ,          ,          ,   -7287276
 DSO 2       85,          ,          ,          ,          ,0.119     ,-0.278    ,0.150     ,0.0155    ,   -7286862
 DSO 1       92,0.683     ,0.00      ,2.98      ,0.0575    ,          ,          ,          ,          ,   -7277276
 DSO 2       86,          ,          ,          ,          ,-0.119    ,0.040     ,0.138     ,0.0087    ,   -7276862
 DSO 1       93,0.794     ,1.59      ,1.39      ,0.0595    ,          ,          ,          ,          ,   -7267276
 DSO 2       87,          ,          ,          ,          ,-0.476    ,-0.099    ,0.340     ,0.0131    ,   -7266862
 DSO 1       94,0.651     ,-1.19     ,2.38      ,0.0575    ,          ,          ,          ,          ,   -7257276
 DSO 2       88,          ,          ,          ,          ,0.020     ,-0.119    ,0.317     ,0.0091    ,   -7256862
 DSO 1       95,1.032     ,-0.99     ,4.37      ,0.0972    ,          ,          ,          ,          ,   -7247276
 DSO 2       89,          ,          ,          ,          ,0.139     ,-0.020    ,0.317     ,0.0179    ,   -7246862
 DSO 1       96,0.778     ,0.60      ,1.79      ,0.0813    ,          ,          ,          ,          ,   -7237276
 DSO 2       90,          ,          ,          ,          ,-0.119    ,0.060     ,0.412     ,0.0167    ,   -7236862
 DSO 1       97,0.762     ,2.78      ,3.97      ,0.0893    ,          ,          ,          ,          ,   -7227276
 DSO 2       91,          ,          ,          ,          ,-0.020    ,-0.179    ,0.424     ,0.0091    ,   -7226862
 DSO 1       98,0.603     ,0.60      ,2.58      ,0.0536    ,          ,          ,          ,          ,   -7217276
 DSO 2       92,          ,          ,          ,          ,-0.119    ,-0.337    ,0.567     ,0.0198    ,   -7216862
 DSO 1       99,0.587     ,-1.19     ,2.78      ,0.0675    ,          ,          ,          ,          ,   -7207276
 DSO 2       93,          ,          ,          ,          ,-0.040    ,-0.317    ,0.448     ,0.0194    ,   -7206862
 DSO 1      100,0.556     ,1.19      ,4.37      ,0.0694    ,          ,          ,          ,          ,   -7197276
 DSO 2       94,          ,          ,          ,          ,-0.377    ,0.000     ,0.245     ,0.0135    ,   -7196862
 DSO 1      101,0.524     ,-2.58     ,1.98      ,0.0337    ,          ,          ,          ,          ,   -7187276
 DSO 2       95,          ,          ,          ,          ,-0.238    ,-0.278    ,0.257     ,0.0127    ,   -7186862
 DSO 1      102,0.794     ,-2.78     ,4.76      ,0.0853    ,          ,          ,          ,          ,   -7177276
 DSO 2       96,          ,          ,          ,          ,-0.159    ,-0.317    ,0.317     ,0.0040    ,   -7176862
 DSO 1      103,0.683     ,4.17      ,1.79      ,0.0952    ,          ,          ,          ,          ,   -7167276
 DSO 2       97,          ,          ,          ,          ,0.040     ,-0.278    ,0.233     ,0.0135    ,   -7166862
 DSO 1      104,0.937     ,0.20      ,4.17      ,0.1151    ,          ,          ,          ,          ,   -7157276
 DSO 2       98,          ,          ,          ,          ,-0.060    ,-0.119    ,0.471     ,0.0071    ,   -7156862
 DSO 1      105,0.794     ,1.19      ,1.39      ,0.0575    ,          ,          ,          ,          ,   -7147276
 DSO 2       99,          ,          ,          ,          ,0.218     ,0.020     ,0.364     ,0.0143    ,   -7146862
 DSO 1      106,0.794     ,0.99      ,1.79      ,0.0734    ,          ,          ,          ,          ,   -7137276
 DSO 2      100,          ,          ,          ,          ,0.000     ,-0.397    ,0.317     ,0.0167    ,   -7136862
 DSO 1      107,0.508     ,0.79      ,4.96      ,0.0496    ,          ,          ,          ,          ,   -7127276
 DSO 2      101,          ,          ,          ,          ,0.099     ,-0.159    ,0.293     ,0.0155    ,   -7126862
 DSO 1      108,0.683     ,-0.60     ,2.18      ,0.0774    ,          ,          ,          ,          ,   -7117276
 DSO 2      102,          ,          ,          ,          ,-0.040    ,-0.079    ,0.567     ,0.0143    ,   -7116862
 DSO 1      109,0.698     ,0.00      ,0.20      ,0.0694    ,          ,          ,          ,          ,   -7107276
 DSO 2      103,          ,          ,          ,          ,-0.159    ,-0.337    ,0.352     ,0.0075    ,   -7106862
 DSO 1      110,0.857     ,2.78      ,1.19      ,0.0754    ,          ,          ,          ,          ,   -7097276
 DSO 2      104,          ,          ,          ,          ,0.000     ,-0.218    ,0.317     ,0.0119    ,   -7096862
 DSO 1      111,0.937     ,2.78      ,0.60      ,0.0675    ,          ,          ,          ,          ,   -7087276
 DSO 2      105,          ,          ,          ,          ,0.139     ,-0.060    ,0.293     ,0.0151    ,   -7086862
 DSO 1      112,0.841     ,4.17      ,0.40      ,0.0774    ,          ,          ,          ,          ,   -7077276
 DSO 2      106,          ,          ,          ,          ,0.179     ,0.060     ,0.436     ,0.0119    ,   -7076862
 DSO 1      113,0.730     ,2.98      ,2.38      ,0.0694    ,          ,          ,          ,          ,   -7067276
 DSO 2      107,          ,          ,          ,          ,0.099     ,-0.337    ,0.483     ,0.0091    ,   -7066862
 DSO 1      114,0.952     ,-1.39     ,-0.20     ,0.0575    ,          ,          ,          ,          ,   -7057276
 DSO 2      108,          ,          ,          ,          ,0.278     ,-0.357    ,0.317     ,0.0103    ,   -7056862
 DSO 1      115,0.762     ,0.00      ,3.77      ,0.0754    ,          ,          ,          ,          ,   -7047276
 DSO 2      109,          ,          ,          ,          ,-0.317    ,-0.238    ,0.388     ,0.0222    ,   -7046862
 DSO 1      116,0.778     ,-0.99     ,2.38      ,0.0714    ,          ,          ,          ,          ,   -7037276
 DSO 2      110,          ,          ,          ,          ,-0.060    ,-0.278    ,0.376     ,0.0230    ,   -7036862
 DSO 1      117,0.508     ,0.99      ,2.58      ,0.0556    ,          ,          ,          ,          ,   -7027276
 DSO 2      111,          ,          ,          ,          ,0.079     ,-0.397    ,0.388     ,0.0063    ,   -7026862
 DSO 1      118,0.698     ,-1.98     ,3.97      ,0.0437    ,          ,          ,          ,          ,   -7017276
 DSO 2      112,          ,          ,          ,          ,0.139     ,-0.218    ,0.436     ,0.0111    ,   -7016862
 DSO 1      119,0.698     ,0.20      ,3.97      ,0.0655    ,          ,          ,          ,          ,   -7007276
 DSO 2      113,          ,          ,          ,          ,-0.139    ,-0.079    ,0.162     ,0.0135    ,   -7006862
 DSO 1      120,1.000     ,1.39      ,3.77      ,0.0754    ,          ,          ,          ,          ,   -6997276
 DSO 2      114,          ,          ,          ,          ,-0.238    ,-0.437    ,0.340     ,0.0151    ,   -6996862
 DSO 1      121,0.825     ,-0.79     ,3.17      ,0.0913    ,          ,          ,          ,          ,   -6987276
 DSO 2      115,          ,          ,          ,          ,-0.198    ,-0.575    ,0.424     ,0.0135    ,   -6986862
 DSO 1      122,0.540     ,1.19      ,3.97      ,0.0833    ,          ,          ,          ,          ,   -6977276
 DSO 2      116,          ,          ,          ,          ,-0.516    ,-0.060    ,0.364     ,0.0167    ,   -6976862
 DSO 1      123,0.508     ,-2.58     ,5.75      ,0.0734    ,          ,          ,          ,          ,   -6967276
 DSO 2      117,          ,          ,          ,          ,0.218     ,-0.040    ,0.317     ,0.0214    ,   -6966862
 DSO 1      124,0.429     ,-2.38     ,1.79      ,0.0694    ,          ,          ,          ,          ,   -6957276
 DSO 2      118,          ,          ,          ,          ,-0.159    ,-0.337    ,0.448     ,0.0135    ,   -6956862
 DSO 1      125,0.698     ,-1.59     ,-0.79     ,0.0794    ,          ,          ,          ,          ,   -6947276
 DSO 2      119,          ,          ,          ,          ,-0.218    ,-0.040    ,0.388     ,0.0115    ,   -6946862
 DSO 1      126,0.603     ,0.00      ,3.77      ,0.0615    ,          ,          ,          ,          ,   -6937276
 DSO 2      120,          ,          ,          ,          ,-0.258    ,-0.496    ,0.162     ,0.0063    ,   -6936862
 DSO 1      127,0.873     ,3.57      ,5.75      ,0.0734    ,          ,          ,          ,          ,   -6927276
 DSO 2      121,          ,          ,          ,          ,0.060     ,0.040     ,0.388     ,0.0131    ,   -6926862
 DSO 1      128,0.794     ,-0.60     ,2.98      ,0.1012    ,          ,          ,          ,          ,   -6917276
 DSO 2      122,          ,          ,          ,          ,-0.159    ,-0.337    ,0.436     ,0.0115    ,   -6916862
 DSO 1      129,0.857     ,2.38      ,3.97      ,0.0933    ,          ,          ,          ,          ,   -6907276
 DSO 2      123,          ,          ,          ,          ,-0.040    ,-0.218    ,0.662     ,0.0115    ,   -6906862
 DSO 1      130,0.778     ,2.58      ,0.60      ,0.0833    ,          ,          ,          ,          ,   -6897276
 DSO 2      124,          ,          ,          ,          ,-0.397    ,-0.397    ,0.293     ,0.0163    ,   -6896862
